,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
0,0.9923441410064697,0.9958418011665344,0.9699000120162964,0.8146,0.9546982645988464,0.9910041093826294,0.9412065148353577,0.6369228959083557,0.8196536898612976,0.4359516203403473,0.8130228519439697,0.0,0.8521654605865479
1,0.9936334490776062,0.9959011673927307,0.9517999887466431,0.7886,0.9598959684371948,0.9910445809364319,0.955411970615387,0.6432484984397888,0.8340293169021606,0.4376286268234253,0.8135967254638672,0.0,0.8560644388198853
2,0.9938006401062012,0.9961400628089905,0.9386000037193298,0.8186,0.9659797549247742,0.9928889870643616,0.9627302289009094,0.7247307300567627,0.8428128957748413,0.43846896290779114,0.8396670818328857,0.0,0.8569692969322205
3,0.9939753413200378,0.9972559809684753,0.9251999855041504,0.8407,0.9671962261199951,0.9938890933990479,0.980008065700531,0.7247313261032104,0.8526806831359863,0.4493478834629059,0.8573755621910095,0.0,0.862079918384552
4,0.9940442442893982,0.9979584813117981,0.9488000273704529,0.8569,0.9738285541534424,0.9952049851417542,0.9915652871131897,0.7368453741073608,0.8563229441642761,0.5078311562538147,0.9764058589935303,0.0,0.9755310416221619
5,0.9942545890808105,0.9984273314476013,0.8429,0.1773,0.9827719926834106,0.9952623248100281,0.9947577118873596,0.7606566548347473,0.8584728240966797,0.6179138422012329,0.9815177917480469,0.0,0.984085738658905
6,0.9947704672813416,0.9985042810440063,0.7306,0.0,0.9845308661460876,0.9953545928001404,0.9967193603515625,0.767103910446167,0.9852388501167297,0.6199867725372314,0.9838857650756836,0.0,0.9923204183578491
7,0.9953256845474243,0.9989280700683594,0.8659,0.4861,0.9908854961395264,0.9956676363945007,0.9974624514579773,0.842444658279419,0.9862735271453857,0.6972781419754028,0.9844651818275452,0.0,0.9943203926086426
8,0.9958109855651855,0.9990925192832947,0.9594,0.6913,0.9917458295822144,0.9977138638496399,0.9987574815750122,0.9771813750267029,0.9950653910636902,0.8489498496055603,0.9929450154304504,0.0,0.9951310753822327
9,0.9971846342086792,0.9990956783294678,0.7941,0.0,0.9953866600990295,0.9995269775390625,0.9991156458854675,0.984181821346283,0.9953160285949707,0.9971728324890137,0.9957255721092224,0.0,0.9954574108123779
