,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
0,0.6789091229438782,0.9959033131599426,0.9632,0.302311,0.981476366519928,0.0,0.8453027606010437,0.0,0.7066015601158142,0.9672052264213562,0.0,0.7477945685386658,0.9973165392875671
1,0.8426395654678345,0.996109127998352,0.9976,0.0,0.983255922794342,0.0,0.9747858643531799,0.0,0.7524046301841736,0.980384886264801,0.0,0.7485285401344299,0.9978331327438354
2,0.9600247144699097,0.9967249631881714,0.9944,0.303269,0.9893907904624939,0.0,0.9787589311599731,0.0,0.9608685374259949,0.9955000281333923,0.0,0.7613475322723389,0.9980645179748535
3,0.9624859094619751,0.9968956112861633,0.9947,0.289671,0.9897900223731995,0.0,0.9790984392166138,0.0,0.9725210666656494,0.996887743473053,0.7162429690361023,0.7618756294250488,0.9980752468109131
4,0.983892560005188,0.9971567988395691,0.9956,0.63661,0.9902375340461731,0.0,0.980276882648468,0.0,0.9753746390342712,0.9974049925804138,0.7520050406455994,0.7622928619384766,0.998324453830719
5,0.9846650958061218,0.9974860548973083,0.9981,0.0,0.9904378652572632,0.0,0.9827420115470886,0.0,0.9766274690628052,0.9974209070205688,0.7793720960617065,0.7623457908630371,0.998344898223877
6,0.9920153617858887,0.9976009130477905,0.995,0.0,0.9924030303955078,0.0,0.9827590584754944,0.6581472754478455,0.9777048826217651,0.9974697828292847,0.7879958152770996,0.7623540163040161,0.9983958005905151
7,0.9931924939155579,0.9977049231529236,0.9971,0.0,0.9945725798606873,0.0,0.982924222946167,0.7622799277305603,0.9784231185913086,0.9975327253341675,0.8836143016815186,0.7628002762794495,0.998496949672699
8,0.9935717582702637,0.9981247186660767,0.9963,0.0,0.9952281713485718,0.0,0.9841994047164917,0.7714803814888,0.9784603118896484,0.9975360035896301,0.8913400173187256,0.7632838487625122,0.9984992742538452
9,0.9945114850997925,0.9981541633605957,0.9938,0.010761,0.9954750537872314,0.8364219069480896,0.9939793944358826,0.7870075702667236,0.9785380363464355,0.9975876212120056,0.9136515259742737,0.7633767127990723,0.9985138773918152
10,0.9946480989456177,0.998236894607544,0.9934,0.0,0.9964326620101929,0.9500110745429993,0.9958218932151794,0.9691837430000305,0.9791516661643982,0.9975982308387756,0.9448387622833252,0.7637559771537781,0.9985378384590149
11,0.9951430559158325,0.998247504234314,0.9982,0.0,0.9966632723808289,0.952480673789978,0.9959322214126587,0.9698377251625061,0.9794319868087769,0.9976202845573425,0.9513934850692749,0.7639833688735962,0.9985397458076477
12,0.9959654211997986,0.9982877969741821,0.9957,0.507636,0.9967381954193115,0.9671669006347656,0.9968981742858887,0.9698635339736938,0.9819890856742859,0.9976526498794556,0.9612671136856079,0.7641667723655701,0.9985697865486145
13,0.9960743188858032,0.9983270168304443,0.9979,0.0,0.9969065189361572,0.967605471611023,0.997001051902771,0.9715911149978638,0.9825145602226257,0.9976552724838257,0.9696332812309265,0.764685869216919,0.9986549615859985
14,0.9965730309486389,0.9983610510826111,0.9945,0.0,0.9974387884140015,0.9797518849372864,0.9973781704902649,0.9723717570304871,0.9863260388374329,0.9977304339408875,0.9736595749855042,0.7648575901985168,0.9986860156059265
15,0.9972991347312927,0.9985262751579285,0.9968,0.204561,0.9975356459617615,0.9806618094444275,0.9978156685829163,0.9723997712135315,0.9937968850135803,0.9977713823318481,0.974359393119812,0.7648791074752808,0.9987275004386902
16,0.9976367950439453,0.9985995888710022,0.9968,0.0,0.9976211786270142,0.9938880801200867,0.9981755614280701,0.9751081466674805,0.9978266954421997,0.9977721571922302,0.9822556376457214,0.7653628587722778,0.9987707734107971
17,0.9977211356163025,0.9987557530403137,0.9981,0.0,0.9978804588317871,0.9951099157333374,0.998197615146637,0.9759138822555542,0.9979081153869629,0.9978347420692444,0.9835304021835327,0.7660456299781799,0.998785674571991
18,0.9977314472198486,0.9987648129463196,0.9487,0.738548,0.998087465763092,0.9960545301437378,0.9982357621192932,0.9793512225151062,0.9981455206871033,0.9978988170623779,0.985854983329773,0.7661195993423462,0.9988565444946289
19,0.9979104995727539,0.9987650513648987,0.9922,0.201796,0.9983773827552795,0.9962288737297058,0.9986987113952637,0.9818712472915649,0.9984288215637207,0.9982830882072449,0.9891729950904846,0.7668671607971191,0.9989681839942932
