,M0,M1,M2,M3,M4,M5,M6,M7,M8,M9,M10,M11,M12
0,0.4753008782863617,0.6541573405265808,0.31630000472068787,0.0,0.49396175146102905,0.5813480019569397,0.20092624425888062,0.3176063299179077,0.4139153063297272,0.0,0.26782968640327454,0.0,0.0
1,0.4949125647544861,0.6541573405265808,0.6347000002861023,0.2636,0.5063396692276001,0.5828995108604431,0.281093567609787,0.33751559257507324,0.4271549582481384,0.0,0.27649396657943726,0.0,0.0
2,0.49770587682724,0.6638851761817932,0.36980000138282776,0.0393,0.507713258266449,0.583346962928772,0.2855755388736725,0.33817440271377563,0.42869576811790466,0.0,0.2989391088485718,0.0,0.0
3,0.5132618546485901,0.6638851761817932,0.5101000070571899,0.1938,0.509699285030365,0.5844463109970093,0.2959541976451874,0.36823728680610657,0.4352231025695801,0.0,0.31827905774116516,0.0,0.0
4,0.5255420207977295,0.6649414300918579,0.6308000087738037,0.0,0.5142074823379517,0.58576500415802,0.30783841013908386,0.3782428503036499,0.4445013701915741,0.0,0.32609447836875916,0.0,0.0
5,0.5261480808258057,0.6649414300918579,0.5653,0.4531,0.5320572257041931,0.58823162317276,0.31063514947891235,0.3849366009235382,0.4542478919029236,0.0,0.32799363136291504,0.0,0.0
6,0.528175413608551,0.6733351945877075,0.5197,0.4781,0.5339089035987854,0.5885341167449951,0.35038161277770996,0.4190763533115387,0.46277016401290894,0.0,0.3319864273071289,0.0,0.0
7,0.5282272100448608,0.6733351945877075,0.3613,0.4292,0.5554125905036926,0.5953742265701294,0.36357471346855164,0.42972832918167114,0.4719981551170349,0.0,0.3808746039867401,0.0,0.0
8,0.5512045621871948,0.6769347190856934,0.4853,0.4341,0.5557806491851807,0.6047273874282837,0.3725009858608246,0.4558996856212616,0.47614148259162903,0.0,0.39134061336517334,0.0,0.0
9,0.5809823274612427,0.6769347190856934,0.4564,0.4163,0.5696778297424316,0.6239611506462097,0.4995132088661194,0.4929446578025818,0.48009192943573,0.0,0.5015315413475037,0.0,0.0
