,config,time
0,--jump-threading ,7.287272930145264
1,--inline ,1.5784938335418701
2,--dce ,1.534660816192627
3,--loop-vectorize ,1.9277336597442627
4,--globalopt ,1.4608352184295654
5,--float2int ,1.4751238822937012
6,--aa ,1.4405813217163086
7,--objc-arc ,1.3403749465942383
8,--jump-threading --inline ,1.5550644397735596
9,--jump-threading --dce ,1.611454725265503
10,--jump-threading --loop-vectorize ,1.9861953258514404
11,--jump-threading --globalopt ,1.5713751316070557
12,--jump-threading --float2int ,1.64715576171875
13,--jump-threading --aa ,1.776573896408081
14,--jump-threading --objc-arc ,1.7942907810211182
15,--inline --dce ,1.4776380062103271
16,--inline --loop-vectorize ,2.125699996948242
17,--inline --globalopt ,1.77034592628479
18,--inline --float2int ,1.3971939086914062
19,--inline --aa ,1.4021759033203125
20,--inline --objc-arc ,1.581514835357666
21,--dce --loop-vectorize ,2.067888021469116
22,--dce --globalopt ,1.4965510368347168
23,--dce --float2int ,1.4045464992523193
24,--dce --aa ,1.4178509712219238
25,--dce --objc-arc ,1.4467036724090576
26,--loop-vectorize --globalopt ,1.9332659244537354
27,--loop-vectorize --float2int ,1.9132490158081055
28,--loop-vectorize --aa ,1.9056429862976074
29,--loop-vectorize --objc-arc ,1.9274370670318604
30,--globalopt --float2int ,1.3995838165283203
31,--globalopt --aa ,1.4077622890472412
32,--globalopt --objc-arc ,1.4175927639007568
33,--float2int --aa ,1.3496110439300537
34,--float2int --objc-arc ,1.3608858585357666
35,--aa --objc-arc ,1.3502862453460693
36,--jump-threading --inline --dce ,1.5669353008270264
37,--jump-threading --inline --loop-vectorize ,2.0071961879730225
38,--jump-threading --inline --globalopt ,1.5444633960723877
39,--jump-threading --inline --float2int ,1.561025857925415
40,--jump-threading --inline --aa ,1.5550692081451416
41,--jump-threading --inline --objc-arc ,1.5640416145324707
42,--jump-threading --dce --loop-vectorize ,1.983612298965454
43,--jump-threading --dce --globalopt ,1.5106351375579834
44,--jump-threading --dce --float2int ,1.5275704860687256
45,--jump-threading --dce --aa ,1.5179791450500488
46,--jump-threading --dce --objc-arc ,1.525754690170288
47,--jump-threading --loop-vectorize --globalopt ,1.9773104190826416
48,--jump-threading --loop-vectorize --float2int ,1.9906582832336426
49,--jump-threading --loop-vectorize --aa ,1.9768543243408203
50,--jump-threading --loop-vectorize --objc-arc ,1.9920082092285156
51,--jump-threading --globalopt --float2int ,1.5165050029754639
52,--jump-threading --globalopt --aa ,1.5119712352752686
53,--jump-threading --globalopt --objc-arc ,1.5292439460754395
54,--jump-threading --float2int --aa ,1.533639907836914
55,--jump-threading --float2int --objc-arc ,1.5292797088623047
56,--jump-threading --aa --objc-arc ,1.5255515575408936
57,--inline --dce --loop-vectorize ,1.981196403503418
58,--inline --dce --globalopt ,1.443856954574585
59,--inline --dce --float2int ,1.4731388092041016
60,--inline --dce --aa ,1.4793939590454102
61,--inline --dce --objc-arc ,1.4667317867279053
62,--inline --loop-vectorize --globalopt ,1.9204366207122803
63,--inline --loop-vectorize --float2int ,1.9617371559143066
64,--inline --loop-vectorize --aa ,1.9366569519042969
65,--inline --loop-vectorize --objc-arc ,1.9627883434295654
66,--inline --globalopt --float2int ,1.4433684349060059
67,--inline --globalopt --aa ,1.4388437271118164
68,--inline --globalopt --objc-arc ,1.4484798908233643
69,--inline --float2int --aa ,1.3996858596801758
70,--inline --float2int --objc-arc ,1.4040625095367432
71,--inline --aa --objc-arc ,1.4046099185943604
72,--dce --loop-vectorize --globalopt ,1.908205270767212
73,--dce --loop-vectorize --float2int ,1.913930892944336
74,--dce --loop-vectorize --aa ,1.9107475280761719
75,--dce --loop-vectorize --objc-arc ,1.941451072692871
76,--dce --globalopt --float2int ,1.4069273471832275
77,--dce --globalopt --aa ,1.4181838035583496
78,--dce --globalopt --objc-arc ,1.4195663928985596
79,--dce --float2int --aa ,1.4191563129425049
80,--dce --float2int --objc-arc ,1.4256401062011719
81,--dce --aa --objc-arc ,1.4224302768707275
82,--loop-vectorize --globalopt --float2int ,1.9158051013946533
83,--loop-vectorize --globalopt --aa ,1.9101569652557373
84,--loop-vectorize --globalopt --objc-arc ,1.9039764404296875
85,--loop-vectorize --float2int --aa ,1.9346585273742676
86,--loop-vectorize --float2int --objc-arc ,1.9273335933685303
87,--loop-vectorize --aa --objc-arc ,1.925846815109253
88,--globalopt --float2int --aa ,1.4240169525146484
89,--globalopt --float2int --objc-arc ,1.4380652904510498
90,--globalopt --aa --objc-arc ,1.419250726699829
91,--float2int --aa --objc-arc ,1.3617143630981445
92,--jump-threading --inline --dce --loop-vectorize ,2.018972396850586
93,--jump-threading --inline --dce --globalopt ,1.559196949005127
94,--jump-threading --inline --dce --float2int ,1.6082899570465088
95,--jump-threading --inline --dce --aa ,1.5961272716522217
96,--jump-threading --inline --dce --objc-arc ,1.5635478496551514
97,--jump-threading --inline --loop-vectorize --globalopt ,1.9996321201324463
98,--jump-threading --inline --loop-vectorize --float2int ,2.042043447494507
99,--jump-threading --inline --loop-vectorize --aa ,2.0215530395507812
100,--jump-threading --inline --loop-vectorize --objc-arc ,2.0206384658813477
101,--jump-threading --inline --globalopt --float2int ,1.551832914352417
102,--jump-threading --inline --globalopt --aa ,1.54801344871521
103,--jump-threading --inline --globalopt --objc-arc ,1.5437157154083252
104,--jump-threading --inline --float2int --aa ,1.5739822387695312
105,--jump-threading --inline --float2int --objc-arc ,1.5556375980377197
106,--jump-threading --inline --aa --objc-arc ,1.5402400493621826
107,--jump-threading --dce --loop-vectorize --globalopt ,1.9742143154144287
108,--jump-threading --dce --loop-vectorize --float2int ,1.9874050617218018
109,--jump-threading --dce --loop-vectorize --aa ,1.9807610511779785
110,--jump-threading --dce --loop-vectorize --objc-arc ,1.9986813068389893
111,--jump-threading --dce --globalopt --float2int ,1.5224285125732422
112,--jump-threading --dce --globalopt --aa ,1.512627124786377
113,--jump-threading --dce --globalopt --objc-arc ,1.5321686267852783
114,--jump-threading --dce --float2int --aa ,1.5309092998504639
115,--jump-threading --dce --float2int --objc-arc ,1.539673089981079
116,--jump-threading --dce --aa --objc-arc ,1.5572497844696045
117,--jump-threading --loop-vectorize --globalopt --float2int ,2.0293376445770264
118,--jump-threading --loop-vectorize --globalopt --aa ,1.998032808303833
