,config,time
0,--jump-threading ,1.387052297592163
1,--inline ,1.2521731853485107
2,--dce ,1.2640893459320068
3,--loop-vectorize ,1.8025612831115723
4,--globalopt ,1.2661831378936768
5,--float2int ,1.2021114826202393
6,--aa ,1.2293667793273926
7,--objc-arc ,1.2260348796844482
8,--jump-threading --inline ,1.4427103996276855
9,--jump-threading --dce ,1.410799503326416
10,--jump-threading --loop-vectorize ,1.8681390285491943
11,--jump-threading --globalopt ,1.374469518661499
12,--jump-threading --float2int ,1.4083707332611084
13,--jump-threading --aa ,1.412764549255371
14,--jump-threading --objc-arc ,1.393284559249878
15,--inline --dce ,1.3248388767242432
16,--inline --loop-vectorize ,1.8218493461608887
17,--inline --globalopt ,1.3142940998077393
18,--inline --float2int ,1.3669507503509521
19,--inline --aa ,1.261888027191162
20,--inline --objc-arc ,1.2843446731567383
21,--dce --loop-vectorize ,1.7940046787261963
22,--dce --globalopt ,1.2778825759887695
23,--dce --float2int ,1.2800185680389404
24,--dce --aa ,1.304093599319458
25,--dce --objc-arc ,1.3048622608184814
26,--loop-vectorize --globalopt ,1.7615866661071777
27,--loop-vectorize --float2int ,1.7897698879241943
28,--loop-vectorize --aa ,1.7928128242492676
29,--loop-vectorize --objc-arc ,1.801436424255371
30,--globalopt --float2int ,1.2774126529693604
31,--globalopt --aa ,1.2811267375946045
32,--globalopt --objc-arc ,1.284874439239502
33,--float2int --aa ,1.2300076484680176
34,--float2int --objc-arc ,1.240647792816162
35,--aa --objc-arc ,1.22275972366333
36,--jump-threading --inline --dce ,1.424018383026123
37,--jump-threading --inline --loop-vectorize ,1.879380702972412
38,--jump-threading --inline --globalopt ,1.4035313129425049
39,--jump-threading --inline --float2int ,1.43088698387146
40,--jump-threading --inline --aa ,1.4358878135681152
41,--jump-threading --inline --objc-arc ,1.4418504238128662
42,--jump-threading --dce --loop-vectorize ,1.8721072673797607
43,--jump-threading --dce --globalopt ,1.3791840076446533
44,--jump-threading --dce --float2int ,1.4088420867919922
45,--jump-threading --dce --aa ,1.4051759243011475
46,--jump-threading --dce --objc-arc ,1.464099645614624
47,--jump-threading --loop-vectorize --globalopt ,1.8984596729278564
48,--jump-threading --loop-vectorize --float2int ,1.8771793842315674
49,--jump-threading --loop-vectorize --aa ,1.8579559326171875
50,--jump-threading --loop-vectorize --objc-arc ,1.8573384284973145
51,--jump-threading --globalopt --float2int ,1.3891241550445557
52,--jump-threading --globalopt --aa ,1.3856027126312256
53,--jump-threading --globalopt --objc-arc ,1.3919036388397217
54,--jump-threading --float2int --aa ,1.4071710109710693
55,--jump-threading --float2int --objc-arc ,1.410858392715454
56,--jump-threading --aa --objc-arc ,1.39860200881958
57,--inline --dce --loop-vectorize ,1.8155522346496582
58,--inline --dce --globalopt ,1.323075771331787
59,--inline --dce --float2int ,1.3468122482299805
60,--inline --dce --aa ,1.3495466709136963
61,--inline --dce --objc-arc ,1.3589537143707275
62,--inline --loop-vectorize --globalopt ,1.7925574779510498
63,--inline --loop-vectorize --float2int ,1.817065715789795
64,--inline --loop-vectorize --aa ,1.8154056072235107
65,--inline --loop-vectorize --objc-arc ,1.831489086151123
66,--inline --globalopt --float2int ,1.3263530731201172
67,--inline --globalopt --aa ,1.3291189670562744
68,--inline --globalopt --objc-arc ,1.3215365409851074
69,--inline --float2int --aa ,1.2847473621368408
70,--inline --float2int --objc-arc ,1.2870676517486572
71,--inline --aa --objc-arc ,1.300203561782837
72,--dce --loop-vectorize --globalopt ,1.8775041103363037
73,--dce --loop-vectorize --float2int ,1.8113183975219727
74,--dce --loop-vectorize --aa ,1.8107988834381104
75,--dce --loop-vectorize --objc-arc ,1.8091144561767578
76,--dce --globalopt --float2int ,1.281740427017212
