,config,time,commit
0,--gvn ,3.3614999999999995,llvmorg-14.0.0-rc2
1,--instcombine ,3.9382,llvmorg-14.0.0-rc2
2,--inline ,0.8472000000000002,llvmorg-14.0.0-rc2
3,--jump-threading ,1.1117000000000001,llvmorg-14.0.0-rc2
4,--simplifycfg ,0.9910999999999999,llvmorg-14.0.0-rc2
5,--sccp ,1.1583,llvmorg-14.0.0-rc2
6,--ipsccp ,1.2742999999999995,llvmorg-14.0.0-rc2
7,--licm ,1.6241000000000003,llvmorg-14.0.0-rc2
8,--iv-users ,1.7329,llvmorg-14.0.0-rc2
9,--gvn --instcombine ,5.148699999999999,llvmorg-14.0.0-rc2
10,--gvn --inline ,3.401499999999999,llvmorg-14.0.0-rc2
11,--gvn --jump-threading ,3.5246999999999993,llvmorg-14.0.0-rc2
12,--gvn --simplifycfg ,3.4031,llvmorg-14.0.0-rc2
13,--gvn --sccp ,3.569800000000001,llvmorg-14.0.0-rc2
14,--gvn --ipsccp ,3.5568000000000004,llvmorg-14.0.0-rc2
15,--gvn --licm ,3.827399999999999,llvmorg-14.0.0-rc2
16,--gvn --iv-users ,3.9760000000000004,llvmorg-14.0.0-rc2
17,--instcombine --inline ,3.9440999999999993,llvmorg-14.0.0-rc2
18,--instcombine --jump-threading ,3.9388000000000005,llvmorg-14.0.0-rc2
19,--instcombine --simplifycfg ,3.9616999999999987,llvmorg-14.0.0-rc2
20,--instcombine --sccp ,4.085099999999999,llvmorg-14.0.0-rc2
21,--instcombine --ipsccp ,4.189299999999999,llvmorg-14.0.0-rc2
22,--instcombine --licm ,4.456399999999999,llvmorg-14.0.0-rc2
23,--instcombine --iv-users ,4.762800000000002,llvmorg-14.0.0-rc2
24,--inline --jump-threading ,1.1746999999999999,llvmorg-14.0.0-rc2
25,--inline --simplifycfg ,1.0543999999999998,llvmorg-14.0.0-rc2
26,--inline --sccp ,1.2368999999999999,llvmorg-14.0.0-rc2
27,--inline --ipsccp ,1.3586,llvmorg-14.0.0-rc2
28,--inline --licm ,1.6481000000000008,llvmorg-14.0.0-rc2
29,--inline --iv-users ,1.7847999999999997,llvmorg-14.0.0-rc2
30,--jump-threading --simplifycfg ,1.1475000000000002,llvmorg-14.0.0-rc2
31,--jump-threading --sccp ,1.3417,llvmorg-14.0.0-rc2
32,--jump-threading --ipsccp ,1.3729,llvmorg-14.0.0-rc2
33,--jump-threading --licm ,1.7391000000000003,llvmorg-14.0.0-rc2
34,--jump-threading --iv-users ,1.7879999999999998,llvmorg-14.0.0-rc2
35,--simplifycfg --sccp ,1.2134,llvmorg-14.0.0-rc2
36,--simplifycfg --ipsccp ,1.2867999999999995,llvmorg-14.0.0-rc2
37,--simplifycfg --licm ,1.6132,llvmorg-14.0.0-rc2
38,--simplifycfg --iv-users ,1.8005000000000002,llvmorg-14.0.0-rc2
39,--sccp --ipsccp ,1.5107,llvmorg-14.0.0-rc2
40,--sccp --licm ,1.8201000000000005,llvmorg-14.0.0-rc2
41,--sccp --iv-users ,1.9485000000000001,llvmorg-14.0.0-rc2
42,--ipsccp --licm ,1.8899,llvmorg-14.0.0-rc2
43,--ipsccp --iv-users ,1.9882000000000006,llvmorg-14.0.0-rc2
44,--licm --iv-users ,2.3298999999999994,llvmorg-14.0.0-rc2
45,--gvn --instcombine --inline ,5.177900000000001,llvmorg-14.0.0-rc2
46,--gvn --instcombine --jump-threading ,5.2289,llvmorg-14.0.0-rc2
47,--gvn --instcombine --simplifycfg ,5.2027,llvmorg-14.0.0-rc2
48,--gvn --instcombine --sccp ,5.334700000000001,llvmorg-14.0.0-rc2
49,--gvn --instcombine --ipsccp ,5.371300000000002,llvmorg-14.0.0-rc2
50,--gvn --instcombine --licm ,5.536599999999999,llvmorg-14.0.0-rc2
51,--gvn --instcombine --iv-users ,5.897900000000002,llvmorg-14.0.0-rc2
52,--gvn --inline --jump-threading ,3.535800000000001,llvmorg-14.0.0-rc2
53,--gvn --inline --simplifycfg ,3.4484999999999983,llvmorg-14.0.0-rc2
54,--gvn --inline --sccp ,3.5455,llvmorg-14.0.0-rc2
55,--gvn --inline --ipsccp ,3.5875999999999992,llvmorg-14.0.0-rc2
56,--gvn --inline --licm ,3.811,llvmorg-14.0.0-rc2
57,--gvn --inline --iv-users ,4.027799999999998,llvmorg-14.0.0-rc2
58,--gvn --jump-threading --simplifycfg ,3.5020999999999995,llvmorg-14.0.0-rc2
59,--gvn --jump-threading --sccp ,3.6342999999999996,llvmorg-14.0.0-rc2
60,--gvn --jump-threading --ipsccp ,3.773900000000001,llvmorg-14.0.0-rc2
61,--gvn --jump-threading --licm ,3.9210000000000003,llvmorg-14.0.0-rc2
62,--gvn --jump-threading --iv-users ,4.1676,llvmorg-14.0.0-rc2
63,--gvn --simplifycfg --sccp ,3.5322999999999998,llvmorg-14.0.0-rc2
64,--gvn --simplifycfg --ipsccp ,3.613299999999999,llvmorg-14.0.0-rc2
65,--gvn --simplifycfg --licm ,3.9294000000000002,llvmorg-14.0.0-rc2
66,--gvn --simplifycfg --iv-users ,4.0213,llvmorg-14.0.0-rc2
67,--gvn --sccp --ipsccp ,3.685600000000001,llvmorg-14.0.0-rc2
68,--gvn --sccp --licm ,4.0241999999999996,llvmorg-14.0.0-rc2
69,--gvn --sccp --iv-users ,4.1449,llvmorg-14.0.0-rc2
70,--gvn --ipsccp --licm ,4.022200000000001,llvmorg-14.0.0-rc2
71,--gvn --ipsccp --iv-users ,4.2090999999999985,llvmorg-14.0.0-rc2
72,--gvn --licm --iv-users ,4.4884,llvmorg-14.0.0-rc2
73,--instcombine --inline --jump-threading ,4.023200000000001,llvmorg-14.0.0-rc2
74,--instcombine --inline --simplifycfg ,3.9373000000000005,llvmorg-14.0.0-rc2
75,--instcombine --inline --sccp ,4.139600000000001,llvmorg-14.0.0-rc2
76,--instcombine --inline --ipsccp ,4.203999999999999,llvmorg-14.0.0-rc2
77,--instcombine --inline --licm ,4.408900000000001,llvmorg-14.0.0-rc2
78,--instcombine --inline --iv-users ,4.8019,llvmorg-14.0.0-rc2
79,--instcombine --jump-threading --simplifycfg ,4.057200000000001,llvmorg-14.0.0-rc2
80,--instcombine --jump-threading --sccp ,4.209100000000002,llvmorg-14.0.0-rc2
81,--instcombine --jump-threading --ipsccp ,4.227099999999999,llvmorg-14.0.0-rc2
82,--instcombine --jump-threading --licm ,4.5264999999999995,llvmorg-14.0.0-rc2
83,--instcombine --jump-threading --iv-users ,4.856300000000001,llvmorg-14.0.0-rc2
84,--instcombine --simplifycfg --sccp ,4.1335,llvmorg-14.0.0-rc2
85,--instcombine --simplifycfg --ipsccp ,4.176400000000001,llvmorg-14.0.0-rc2
86,--instcombine --simplifycfg --licm ,4.4544,llvmorg-14.0.0-rc2
87,--instcombine --simplifycfg --iv-users ,4.9219,llvmorg-14.0.0-rc2
88,--instcombine --sccp --ipsccp ,4.317499999999999,llvmorg-14.0.0-rc2
89,--instcombine --sccp --licm ,4.6166,llvmorg-14.0.0-rc2
90,--instcombine --sccp --iv-users ,5.0019,llvmorg-14.0.0-rc2
91,--instcombine --ipsccp --licm ,4.6677,llvmorg-14.0.0-rc2
92,--instcombine --ipsccp --iv-users ,5.033200000000001,llvmorg-14.0.0-rc2
93,--instcombine --licm --iv-users ,5.322300000000002,llvmorg-14.0.0-rc2
94,--inline --jump-threading --simplifycfg ,1.2058000000000002,llvmorg-14.0.0-rc2
95,--inline --jump-threading --sccp ,1.3466000000000005,llvmorg-14.0.0-rc2
96,--inline --jump-threading --ipsccp ,1.3862000000000003,llvmorg-14.0.0-rc2
97,--inline --jump-threading --licm ,1.7805999999999997,llvmorg-14.0.0-rc2
98,--inline --jump-threading --iv-users ,1.8381,llvmorg-14.0.0-rc2
