,config,time,commit
0,--gvn ,3.425400000000001,llvmorg-13.0.1-rc2
1,--instcombine ,3.971700000000001,llvmorg-13.0.1-rc2
2,--inline ,0.8533000000000003,llvmorg-13.0.1-rc2
3,--jump-threading ,1.1345000000000005,llvmorg-13.0.1-rc2
4,--simplifycfg ,1.0081,llvmorg-13.0.1-rc2
5,--sccp ,1.154,llvmorg-13.0.1-rc2
6,--ipsccp ,1.3216999999999997,llvmorg-13.0.1-rc2
7,--licm ,1.6347000000000007,llvmorg-13.0.1-rc2
8,--iv-users ,1.7340000000000002,llvmorg-13.0.1-rc2
9,--gvn --instcombine ,5.171599999999998,llvmorg-13.0.1-rc2
10,--gvn --inline ,3.479300000000002,llvmorg-13.0.1-rc2
11,--gvn --jump-threading ,3.5226000000000015,llvmorg-13.0.1-rc2
12,--gvn --simplifycfg ,3.4458000000000006,llvmorg-13.0.1-rc2
13,--gvn --sccp ,3.5215000000000014,llvmorg-13.0.1-rc2
14,--gvn --ipsccp ,3.661200000000001,llvmorg-13.0.1-rc2
15,--gvn --licm ,3.9008000000000007,llvmorg-13.0.1-rc2
16,--gvn --iv-users ,3.985900000000001,llvmorg-13.0.1-rc2
17,--instcombine --inline ,4.050900000000001,llvmorg-13.0.1-rc2
18,--instcombine --jump-threading ,4.076100000000001,llvmorg-13.0.1-rc2
19,--instcombine --simplifycfg ,3.9930999999999974,llvmorg-13.0.1-rc2
20,--instcombine --sccp ,4.1742,llvmorg-13.0.1-rc2
21,--instcombine --ipsccp ,4.281900000000002,llvmorg-13.0.1-rc2
22,--instcombine --licm ,4.473999999999999,llvmorg-13.0.1-rc2
23,--instcombine --iv-users ,4.850699999999998,llvmorg-13.0.1-rc2
24,--inline --jump-threading ,1.1570000000000003,llvmorg-13.0.1-rc2
25,--inline --simplifycfg ,1.0641,llvmorg-13.0.1-rc2
26,--inline --sccp ,1.1957999999999993,llvmorg-13.0.1-rc2
27,--inline --ipsccp ,1.3280000000000003,llvmorg-13.0.1-rc2
28,--inline --licm ,1.6739000000000002,llvmorg-13.0.1-rc2
29,--inline --iv-users ,1.7966,llvmorg-13.0.1-rc2
30,--jump-threading --simplifycfg ,1.1558000000000004,llvmorg-13.0.1-rc2
31,--jump-threading --sccp ,1.3614000000000002,llvmorg-13.0.1-rc2
32,--jump-threading --ipsccp ,1.4084999999999999,llvmorg-13.0.1-rc2
33,--jump-threading --licm ,1.7248,llvmorg-13.0.1-rc2
34,--jump-threading --iv-users ,1.8885999999999992,llvmorg-13.0.1-rc2
35,--simplifycfg --sccp ,1.2057000000000002,llvmorg-13.0.1-rc2
36,--simplifycfg --ipsccp ,1.3212000000000002,llvmorg-13.0.1-rc2
37,--simplifycfg --licm ,1.6480000000000001,llvmorg-13.0.1-rc2
38,--simplifycfg --iv-users ,1.8276999999999997,llvmorg-13.0.1-rc2
39,--sccp --ipsccp ,1.4728999999999999,llvmorg-13.0.1-rc2
40,--sccp --licm ,1.8369000000000002,llvmorg-13.0.1-rc2
41,--sccp --iv-users ,1.9615999999999998,llvmorg-13.0.1-rc2
42,--ipsccp --licm ,1.9030000000000002,llvmorg-13.0.1-rc2
43,--ipsccp --iv-users ,1.9977999999999996,llvmorg-13.0.1-rc2
44,--licm --iv-users ,2.3982,llvmorg-13.0.1-rc2
45,--gvn --instcombine --inline ,5.2293,llvmorg-13.0.1-rc2
46,--gvn --instcombine --jump-threading ,5.275100000000002,llvmorg-13.0.1-rc2
47,--gvn --instcombine --simplifycfg ,5.227099999999999,llvmorg-13.0.1-rc2
48,--gvn --instcombine --sccp ,5.3609,llvmorg-13.0.1-rc2
49,--gvn --instcombine --ipsccp ,5.444700000000002,llvmorg-13.0.1-rc2
50,--gvn --instcombine --licm ,5.648500000000003,llvmorg-13.0.1-rc2
51,--gvn --instcombine --iv-users ,5.980199999999999,llvmorg-13.0.1-rc2
52,--gvn --inline --jump-threading ,3.6200000000000006,llvmorg-13.0.1-rc2
53,--gvn --inline --simplifycfg ,3.4316000000000004,llvmorg-13.0.1-rc2
54,--gvn --inline --sccp ,3.571800000000001,llvmorg-13.0.1-rc2
55,--gvn --inline --ipsccp ,3.6816000000000013,llvmorg-13.0.1-rc2
56,--gvn --inline --licm ,3.9493000000000014,llvmorg-13.0.1-rc2
57,--gvn --inline --iv-users ,4.1175000000000015,llvmorg-13.0.1-rc2
58,--gvn --jump-threading --simplifycfg ,3.5510000000000024,llvmorg-13.0.1-rc2
59,--gvn --jump-threading --sccp ,3.712200000000002,llvmorg-13.0.1-rc2
60,--gvn --jump-threading --ipsccp ,3.756600000000002,llvmorg-13.0.1-rc2
61,--gvn --jump-threading --licm ,4.0102,llvmorg-13.0.1-rc2
62,--gvn --jump-threading --iv-users ,4.2230000000000025,llvmorg-13.0.1-rc2
63,--gvn --simplifycfg --sccp ,3.5619,llvmorg-13.0.1-rc2
64,--gvn --simplifycfg --ipsccp ,3.6301000000000005,llvmorg-13.0.1-rc2
65,--gvn --simplifycfg --licm ,3.9315000000000007,llvmorg-13.0.1-rc2
66,--gvn --simplifycfg --iv-users ,4.1219,llvmorg-13.0.1-rc2
67,--gvn --sccp --ipsccp ,3.804800000000002,llvmorg-13.0.1-rc2
68,--gvn --sccp --licm ,3.988500000000002,llvmorg-13.0.1-rc2
69,--gvn --sccp --iv-users ,4.188500000000003,llvmorg-13.0.1-rc2
70,--gvn --ipsccp --licm ,4.120100000000001,llvmorg-13.0.1-rc2
71,--gvn --ipsccp --iv-users ,4.243600000000001,llvmorg-13.0.1-rc2
72,--gvn --licm --iv-users ,4.484699999999998,llvmorg-13.0.1-rc2
73,--instcombine --inline --jump-threading ,4.101200000000001,llvmorg-13.0.1-rc2
74,--instcombine --inline --simplifycfg ,4.0473,llvmorg-13.0.1-rc2
75,--instcombine --inline --sccp ,4.187300000000001,llvmorg-13.0.1-rc2
76,--instcombine --inline --ipsccp ,4.2617,llvmorg-13.0.1-rc2
77,--instcombine --inline --licm ,4.4675,llvmorg-13.0.1-rc2
78,--instcombine --inline --iv-users ,4.9202,llvmorg-13.0.1-rc2
79,--instcombine --jump-threading --simplifycfg ,4.134500000000001,llvmorg-13.0.1-rc2
80,--instcombine --jump-threading --sccp ,4.280800000000002,llvmorg-13.0.1-rc2
81,--instcombine --jump-threading --ipsccp ,4.327300000000001,llvmorg-13.0.1-rc2
82,--instcombine --jump-threading --licm ,4.621300000000003,llvmorg-13.0.1-rc2
83,--instcombine --jump-threading --iv-users ,4.986299999999999,llvmorg-13.0.1-rc2
84,--instcombine --simplifycfg --sccp ,4.1984,llvmorg-13.0.1-rc2
85,--instcombine --simplifycfg --ipsccp ,4.244800000000002,llvmorg-13.0.1-rc2
86,--instcombine --simplifycfg --licm ,4.590500000000001,llvmorg-13.0.1-rc2
87,--instcombine --simplifycfg --iv-users ,4.886200000000001,llvmorg-13.0.1-rc2
88,--instcombine --sccp --ipsccp ,4.4502000000000015,llvmorg-13.0.1-rc2
