,config,time
0,--jump-threading ,1.4781360626220703
1,--inline ,1.448408842086792
2,--dce ,1.3269803524017334
3,--loop-vectorize ,1.9189972877502441
4,--globalopt ,1.3511192798614502
5,--float2int ,1.2773644924163818
6,--aa ,1.3084561824798584
7,--objc-arc ,1.328991413116455
8,--jump-threading --inline ,1.5046679973602295
9,--jump-threading --dce ,1.4867749214172363
10,--jump-threading --loop-vectorize ,1.9955284595489502
11,--jump-threading --globalopt ,1.4547531604766846
12,--jump-threading --float2int ,1.487884759902954
13,--jump-threading --aa ,1.4783129692077637
14,--jump-threading --objc-arc ,1.4864301681518555
15,--inline --dce ,1.4106996059417725
16,--inline --loop-vectorize ,1.9482359886169434
17,--inline --globalopt ,1.3844408988952637
18,--inline --float2int ,1.3483059406280518
19,--inline --aa ,1.373399257659912
20,--inline --objc-arc ,1.3588640689849854
21,--dce --loop-vectorize ,1.9222276210784912
22,--dce --globalopt ,1.3591692447662354
23,--dce --float2int ,1.3524141311645508
24,--dce --aa ,1.379814863204956
25,--dce --objc-arc ,1.3901937007904053
26,--loop-vectorize --globalopt ,1.9114060401916504
27,--loop-vectorize --float2int ,1.9361608028411865
28,--loop-vectorize --aa ,1.9249722957611084
29,--loop-vectorize --objc-arc ,1.94520902633667
30,--globalopt --float2int ,1.3661365509033203
31,--globalopt --aa ,1.3662421703338623
32,--globalopt --objc-arc ,1.3823442459106445
33,--float2int --aa ,1.3140153884887695
34,--float2int --objc-arc ,1.3182523250579834
35,--aa --objc-arc ,1.308427333831787
36,--jump-threading --inline --dce ,1.5006022453308105
37,--jump-threading --inline --loop-vectorize ,2.0156075954437256
38,--jump-threading --inline --globalopt ,1.4868648052215576
39,--jump-threading --inline --float2int ,1.5231833457946777
40,--jump-threading --inline --aa ,1.5284910202026367
41,--jump-threading --inline --objc-arc ,1.5112392902374268
42,--jump-threading --dce --loop-vectorize ,1.9863853454589844
43,--jump-threading --dce --globalopt ,1.4676859378814697
44,--jump-threading --dce --float2int ,1.4923019409179688
45,--jump-threading --dce --aa ,1.479445457458496
46,--jump-threading --dce --objc-arc ,1.4800097942352295
47,--jump-threading --loop-vectorize --globalopt ,1.9757287502288818
48,--jump-threading --loop-vectorize --float2int ,2.0051887035369873
49,--jump-threading --loop-vectorize --aa ,1.9964969158172607
50,--jump-threading --loop-vectorize --objc-arc ,2.004126787185669
51,--jump-threading --globalopt --float2int ,1.4759559631347656
52,--jump-threading --globalopt --aa ,1.5018558502197266
53,--jump-threading --globalopt --objc-arc ,1.4787282943725586
54,--jump-threading --float2int --aa ,1.4834866523742676
55,--jump-threading --float2int --objc-arc ,1.4886202812194824
56,--jump-threading --aa --objc-arc ,1.4772958755493164
57,--inline --dce --loop-vectorize ,1.9704794883728027
58,--inline --dce --globalopt ,1.4086377620697021
59,--inline --dce --float2int ,1.457336187362671
60,--inline --dce --aa ,1.4325425624847412
61,--inline --dce --objc-arc ,1.4335331916809082
62,--inline --loop-vectorize --globalopt ,1.9440155029296875
63,--inline --loop-vectorize --float2int ,1.967221975326538
64,--inline --loop-vectorize --aa ,1.962914228439331
65,--inline --loop-vectorize --objc-arc ,1.9678740501403809
66,--inline --globalopt --float2int ,1.4127678871154785
67,--inline --globalopt --aa ,1.418602466583252
68,--inline --globalopt --objc-arc ,1.4097681045532227
69,--inline --float2int --aa ,1.371732234954834
70,--inline --float2int --objc-arc ,1.3717188835144043
71,--inline --aa --objc-arc ,1.3569180965423584
72,--dce --loop-vectorize --globalopt ,1.9124431610107422
73,--dce --loop-vectorize --float2int ,1.9367940425872803
74,--dce --loop-vectorize --aa ,1.9245076179504395
75,--dce --loop-vectorize --objc-arc ,1.9544029235839844
76,--dce --globalopt --float2int ,1.3767859935760498
77,--dce --globalopt --aa ,1.3675315380096436
78,--dce --globalopt --objc-arc ,1.3663830757141113
79,--dce --float2int --aa ,1.367039680480957
80,--dce --float2int --objc-arc ,1.3789184093475342
81,--dce --aa --objc-arc ,1.3639254570007324
82,--loop-vectorize --globalopt --float2int ,1.919252872467041
83,--loop-vectorize --globalopt --aa ,1.9015440940856934
84,--loop-vectorize --globalopt --objc-arc ,1.9191131591796875
85,--loop-vectorize --float2int --aa ,1.9126393795013428
86,--loop-vectorize --float2int --objc-arc ,1.9158494472503662
87,--loop-vectorize --aa --objc-arc ,1.9184532165527344
88,--globalopt --float2int --aa ,1.3652052879333496
89,--globalopt --float2int --objc-arc ,1.3682925701141357
90,--globalopt --aa --objc-arc ,1.3592016696929932
91,--float2int --aa --objc-arc ,1.299933671951294
92,--jump-threading --inline --dce --loop-vectorize ,2.009922981262207
93,--jump-threading --inline --dce --globalopt ,1.4803931713104248
94,--jump-threading --inline --dce --float2int ,1.5135729312896729
95,--jump-threading --inline --dce --aa ,1.490762710571289
96,--jump-threading --inline --dce --objc-arc ,1.4981727600097656
97,--jump-threading --inline --loop-vectorize --globalopt ,1.9897375106811523
98,--jump-threading --inline --loop-vectorize --float2int ,2.0221152305603027
99,--jump-threading --inline --loop-vectorize --aa ,2.014991283416748
100,--jump-threading --inline --loop-vectorize --objc-arc ,2.0093414783477783
101,--jump-threading --inline --globalopt --float2int ,1.5072996616363525
102,--jump-threading --inline --globalopt --aa ,1.519526481628418
103,--jump-threading --inline --globalopt --objc-arc ,1.5111026763916016
104,--jump-threading --inline --float2int --aa ,1.5226948261260986
105,--jump-threading --inline --float2int --objc-arc ,1.539552927017212
106,--jump-threading --inline --aa --objc-arc ,1.5155487060546875
