,config,time,commit
0,--gvn ,3.410100000000002,llvmorg-11.0.0-rc4
1,--instcombine ,3.9672999999999994,llvmorg-11.0.0-rc4
2,--inline ,0.8632000000000005,llvmorg-11.0.0-rc4
3,--jump-threading ,1.1853999999999993,llvmorg-11.0.0-rc4
4,--simplifycfg ,1.0394999999999999,llvmorg-11.0.0-rc4
5,--sccp ,1.1651,llvmorg-11.0.0-rc4
6,--ipsccp ,1.3157000000000005,llvmorg-11.0.0-rc4
7,--licm ,1.6725999999999999,llvmorg-11.0.0-rc4
8,--iv-users ,1.7605999999999995,llvmorg-11.0.0-rc4
9,--gvn --instcombine ,5.213100000000001,llvmorg-11.0.0-rc4
10,--gvn --inline ,3.4696999999999987,llvmorg-11.0.0-rc4
11,--gvn --jump-threading ,3.5135000000000005,llvmorg-11.0.0-rc4
12,--gvn --simplifycfg ,3.435699999999999,llvmorg-11.0.0-rc4
13,--gvn --sccp ,3.558099999999999,llvmorg-11.0.0-rc4
14,--gvn --ipsccp ,3.6235999999999997,llvmorg-11.0.0-rc4
15,--gvn --licm ,3.849299999999999,llvmorg-11.0.0-rc4
16,--gvn --iv-users ,4.076299999999999,llvmorg-11.0.0-rc4
17,--instcombine --inline ,4.009199999999999,llvmorg-11.0.0-rc4
18,--instcombine --jump-threading ,4.0445,llvmorg-11.0.0-rc4
19,--instcombine --simplifycfg ,4.025399999999999,llvmorg-11.0.0-rc4
20,--instcombine --sccp ,4.180399999999999,llvmorg-11.0.0-rc4
21,--instcombine --ipsccp ,4.2063,llvmorg-11.0.0-rc4
22,--instcombine --licm ,4.5234000000000005,llvmorg-11.0.0-rc4
23,--instcombine --iv-users ,4.9259,llvmorg-11.0.0-rc4
24,--inline --jump-threading ,1.1675,llvmorg-11.0.0-rc4
25,--inline --simplifycfg ,1.0756,llvmorg-11.0.0-rc4
26,--inline --sccp ,1.2385000000000004,llvmorg-11.0.0-rc4
27,--inline --ipsccp ,1.2996999999999999,llvmorg-11.0.0-rc4
28,--inline --licm ,1.6837000000000004,llvmorg-11.0.0-rc4
29,--inline --iv-users ,1.8181000000000005,llvmorg-11.0.0-rc4
30,--jump-threading --simplifycfg ,1.1867,llvmorg-11.0.0-rc4
31,--jump-threading --sccp ,1.3315,llvmorg-11.0.0-rc4
32,--jump-threading --ipsccp ,1.4158000000000002,llvmorg-11.0.0-rc4
33,--jump-threading --licm ,1.6803000000000001,llvmorg-11.0.0-rc4
34,--jump-threading --iv-users ,1.8564000000000005,llvmorg-11.0.0-rc4
35,--simplifycfg --sccp ,1.2287999999999997,llvmorg-11.0.0-rc4
36,--simplifycfg --ipsccp ,1.2387,llvmorg-11.0.0-rc4
37,--simplifycfg --licm ,1.6578999999999993,llvmorg-11.0.0-rc4
38,--simplifycfg --iv-users ,1.7214000000000003,llvmorg-11.0.0-rc4
39,--sccp --ipsccp ,1.5172999999999999,llvmorg-11.0.0-rc4
40,--sccp --licm ,1.8606000000000007,llvmorg-11.0.0-rc4
41,--sccp --iv-users ,1.9960000000000002,llvmorg-11.0.0-rc4
42,--ipsccp --licm ,1.9248,llvmorg-11.0.0-rc4
43,--ipsccp --iv-users ,2.0519,llvmorg-11.0.0-rc4
44,--licm --iv-users ,2.3930999999999996,llvmorg-11.0.0-rc4
45,--gvn --instcombine --inline ,5.161099999999999,llvmorg-11.0.0-rc4
46,--gvn --instcombine --jump-threading ,5.2919,llvmorg-11.0.0-rc4
47,--gvn --instcombine --simplifycfg ,5.234999999999997,llvmorg-11.0.0-rc4
48,--gvn --instcombine --sccp ,5.355399999999998,llvmorg-11.0.0-rc4
49,--gvn --instcombine --ipsccp ,5.413900000000003,llvmorg-11.0.0-rc4
50,--gvn --instcombine --licm ,5.627099999999999,llvmorg-11.0.0-rc4
51,--gvn --instcombine --iv-users ,5.938700000000002,llvmorg-11.0.0-rc4
52,--gvn --inline --jump-threading ,3.5495,llvmorg-11.0.0-rc4
53,--gvn --inline --simplifycfg ,3.435500000000001,llvmorg-11.0.0-rc4
54,--gvn --inline --sccp ,3.544399999999999,llvmorg-11.0.0-rc4
55,--gvn --inline --ipsccp ,3.6196,llvmorg-11.0.0-rc4
56,--gvn --inline --licm ,3.8526999999999987,llvmorg-11.0.0-rc4
57,--gvn --inline --iv-users ,4.039999999999997,llvmorg-11.0.0-rc4
58,--gvn --jump-threading --simplifycfg ,3.501200000000001,llvmorg-11.0.0-rc4
59,--gvn --jump-threading --sccp ,3.6649000000000003,llvmorg-11.0.0-rc4
60,--gvn --jump-threading --ipsccp ,3.7179,llvmorg-11.0.0-rc4
61,--gvn --jump-threading --licm ,3.9573000000000014,llvmorg-11.0.0-rc4
62,--gvn --jump-threading --iv-users ,4.1734,llvmorg-11.0.0-rc4
63,--gvn --simplifycfg --sccp ,3.544000000000001,llvmorg-11.0.0-rc4
64,--gvn --simplifycfg --ipsccp ,3.5864,llvmorg-11.0.0-rc4
65,--gvn --simplifycfg --licm ,3.8505999999999996,llvmorg-11.0.0-rc4
66,--gvn --simplifycfg --iv-users ,4.089200000000001,llvmorg-11.0.0-rc4
67,--gvn --sccp --ipsccp ,3.7662,llvmorg-11.0.0-rc4
68,--gvn --sccp --licm ,3.9337999999999993,llvmorg-11.0.0-rc4
69,--gvn --sccp --iv-users ,4.123699999999999,llvmorg-11.0.0-rc4
70,--gvn --ipsccp --licm ,4.010799999999999,llvmorg-11.0.0-rc4
71,--gvn --ipsccp --iv-users ,4.2381,llvmorg-11.0.0-rc4
72,--gvn --licm --iv-users ,4.429199999999999,llvmorg-11.0.0-rc4
73,--instcombine --inline --jump-threading ,4.057200000000002,llvmorg-11.0.0-rc4
74,--instcombine --inline --simplifycfg ,4.034599999999999,llvmorg-11.0.0-rc4
75,--instcombine --inline --sccp ,4.119199999999999,llvmorg-11.0.0-rc4
76,--instcombine --inline --ipsccp ,4.195100000000001,llvmorg-11.0.0-rc4
77,--instcombine --inline --licm ,4.4662,llvmorg-11.0.0-rc4
78,--instcombine --inline --iv-users ,4.874299999999999,llvmorg-11.0.0-rc4
79,--instcombine --jump-threading --simplifycfg ,4.058099999999998,llvmorg-11.0.0-rc4
80,--instcombine --jump-threading --sccp ,4.2466,llvmorg-11.0.0-rc4
81,--instcombine --jump-threading --ipsccp ,4.223300000000002,llvmorg-11.0.0-rc4
82,--instcombine --jump-threading --licm ,4.5266,llvmorg-11.0.0-rc4
83,--instcombine --jump-threading --iv-users ,4.923099999999998,llvmorg-11.0.0-rc4
84,--instcombine --simplifycfg --sccp ,4.1366999999999985,llvmorg-11.0.0-rc4
85,--instcombine --simplifycfg --ipsccp ,4.2360999999999995,llvmorg-11.0.0-rc4
86,--instcombine --simplifycfg --licm ,4.486900000000001,llvmorg-11.0.0-rc4
87,--instcombine --simplifycfg --iv-users ,4.929799999999999,llvmorg-11.0.0-rc4
88,--instcombine --sccp --ipsccp ,4.4327000000000005,llvmorg-11.0.0-rc4
89,--instcombine --sccp --licm ,4.635799999999999,llvmorg-11.0.0-rc4
90,--instcombine --sccp --iv-users ,4.986000000000001,llvmorg-11.0.0-rc4
91,--instcombine --ipsccp --licm ,4.6987,llvmorg-11.0.0-rc4
92,--instcombine --ipsccp --iv-users ,5.1744,llvmorg-11.0.0-rc4
93,--instcombine --licm --iv-users ,5.369900000000002,llvmorg-11.0.0-rc4
94,--inline --jump-threading --simplifycfg ,1.1751999999999998,llvmorg-11.0.0-rc4
95,--inline --jump-threading --sccp ,1.3575999999999995,llvmorg-11.0.0-rc4
96,--inline --jump-threading --ipsccp ,1.4037999999999995,llvmorg-11.0.0-rc4
97,--inline --jump-threading --licm ,1.8031999999999995,llvmorg-11.0.0-rc4
98,--inline --jump-threading --iv-users ,1.8991,llvmorg-11.0.0-rc4
99,--inline --simplifycfg --sccp ,1.3208000000000006,llvmorg-11.0.0-rc4
100,--inline --simplifycfg --ipsccp ,1.3,llvmorg-11.0.0-rc4
101,--inline --simplifycfg --licm ,1.7234000000000003,llvmorg-11.0.0-rc4
102,--inline --simplifycfg --iv-users ,1.8597000000000001,llvmorg-11.0.0-rc4
103,--inline --sccp --ipsccp ,1.5206000000000008,llvmorg-11.0.0-rc4
104,--inline --sccp --licm ,1.8389000000000006,llvmorg-11.0.0-rc4
