,config,time,commit
0,--gvn ,3.5109999999999997,llvmorg-12.0.1-rc2
1,--instcombine ,4.1732000000000005,llvmorg-12.0.1-rc2
2,--inline ,0.8998000000000002,llvmorg-12.0.1-rc2
3,--jump-threading ,1.1716999999999997,llvmorg-12.0.1-rc2
4,--simplifycfg ,1.0315000000000003,llvmorg-12.0.1-rc2
5,--sccp ,1.2340000000000002,llvmorg-12.0.1-rc2
6,--ipsccp ,1.3477,llvmorg-12.0.1-rc2
7,--licm ,1.7331000000000005,llvmorg-12.0.1-rc2
8,--iv-users ,1.876199999999999,llvmorg-12.0.1-rc2
9,--gvn --instcombine ,5.409700000000002,llvmorg-12.0.1-rc2
10,--gvn --inline ,3.5426000000000006,llvmorg-12.0.1-rc2
11,--gvn --jump-threading ,3.6464000000000008,llvmorg-12.0.1-rc2
12,--gvn --simplifycfg ,3.630099999999999,llvmorg-12.0.1-rc2
13,--gvn --sccp ,3.7232,llvmorg-12.0.1-rc2
14,--gvn --ipsccp ,3.7799999999999985,llvmorg-12.0.1-rc2
15,--gvn --licm ,3.9882999999999997,llvmorg-12.0.1-rc2
16,--gvn --iv-users ,4.173399999999998,llvmorg-12.0.1-rc2
17,--instcombine --inline ,4.0876,llvmorg-12.0.1-rc2
18,--instcombine --jump-threading ,4.2170999999999985,llvmorg-12.0.1-rc2
19,--instcombine --simplifycfg ,4.194500000000001,llvmorg-12.0.1-rc2
20,--instcombine --sccp ,4.313599999999999,llvmorg-12.0.1-rc2
21,--instcombine --ipsccp ,4.392599999999998,llvmorg-12.0.1-rc2
22,--instcombine --licm ,4.626200000000001,llvmorg-12.0.1-rc2
23,--instcombine --iv-users ,5.1038000000000014,llvmorg-12.0.1-rc2
24,--inline --jump-threading ,1.2192999999999998,llvmorg-12.0.1-rc2
25,--inline --simplifycfg ,1.0856999999999999,llvmorg-12.0.1-rc2
26,--inline --sccp ,1.2950999999999997,llvmorg-12.0.1-rc2
27,--inline --ipsccp ,1.4543999999999997,llvmorg-12.0.1-rc2
28,--inline --licm ,1.7510999999999997,llvmorg-12.0.1-rc2
29,--inline --iv-users ,1.8518,llvmorg-12.0.1-rc2
30,--jump-threading --simplifycfg ,1.2526,llvmorg-12.0.1-rc2
31,--jump-threading --sccp ,1.4304000000000001,llvmorg-12.0.1-rc2
32,--jump-threading --ipsccp ,1.4607,llvmorg-12.0.1-rc2
33,--jump-threading --licm ,1.8818000000000004,llvmorg-12.0.1-rc2
34,--jump-threading --iv-users ,1.9930000000000005,llvmorg-12.0.1-rc2
35,--simplifycfg --sccp ,1.2958999999999996,llvmorg-12.0.1-rc2
36,--simplifycfg --ipsccp ,1.3564,llvmorg-12.0.1-rc2
37,--simplifycfg --licm ,1.7854,llvmorg-12.0.1-rc2
38,--simplifycfg --iv-users ,1.8218000000000003,llvmorg-12.0.1-rc2
39,--sccp --ipsccp ,1.5770000000000002,llvmorg-12.0.1-rc2
40,--sccp --licm ,1.9691000000000003,llvmorg-12.0.1-rc2
41,--sccp --iv-users ,2.0534000000000003,llvmorg-12.0.1-rc2
42,--ipsccp --licm ,2.0162999999999998,llvmorg-12.0.1-rc2
43,--ipsccp --iv-users ,2.1228,llvmorg-12.0.1-rc2
44,--licm --iv-users ,2.4490999999999996,llvmorg-12.0.1-rc2
45,--gvn --instcombine --inline ,5.312800000000003,llvmorg-12.0.1-rc2
46,--gvn --instcombine --jump-threading ,5.482100000000001,llvmorg-12.0.1-rc2
47,--gvn --instcombine --simplifycfg ,5.3850999999999996,llvmorg-12.0.1-rc2
48,--gvn --instcombine --sccp ,5.582299999999999,llvmorg-12.0.1-rc2
49,--gvn --instcombine --ipsccp ,5.602499999999999,llvmorg-12.0.1-rc2
50,--gvn --instcombine --licm ,5.976100000000001,llvmorg-12.0.1-rc2
51,--gvn --instcombine --iv-users ,6.2227999999999986,llvmorg-12.0.1-rc2
52,--gvn --inline --jump-threading ,3.6214999999999993,llvmorg-12.0.1-rc2
53,--gvn --inline --simplifycfg ,3.5913,llvmorg-12.0.1-rc2
54,--gvn --inline --sccp ,3.6999999999999997,llvmorg-12.0.1-rc2
55,--gvn --inline --ipsccp ,3.794799999999998,llvmorg-12.0.1-rc2
56,--gvn --inline --licm ,3.9273000000000007,llvmorg-12.0.1-rc2
57,--gvn --inline --iv-users ,4.211599999999999,llvmorg-12.0.1-rc2
58,--gvn --jump-threading --simplifycfg ,3.6566000000000005,llvmorg-12.0.1-rc2
59,--gvn --jump-threading --sccp ,3.8036000000000003,llvmorg-12.0.1-rc2
60,--gvn --jump-threading --ipsccp ,3.9375,llvmorg-12.0.1-rc2
61,--gvn --jump-threading --licm ,4.1695,llvmorg-12.0.1-rc2
62,--gvn --jump-threading --iv-users ,4.389999999999998,llvmorg-12.0.1-rc2
63,--gvn --simplifycfg --sccp ,3.6702999999999997,llvmorg-12.0.1-rc2
64,--gvn --simplifycfg --ipsccp ,3.8021,llvmorg-12.0.1-rc2
65,--gvn --simplifycfg --licm ,4.068499999999998,llvmorg-12.0.1-rc2
66,--gvn --simplifycfg --iv-users ,4.272099999999999,llvmorg-12.0.1-rc2
67,--gvn --sccp --ipsccp ,3.909999999999999,llvmorg-12.0.1-rc2
68,--gvn --sccp --licm ,4.2162,llvmorg-12.0.1-rc2
69,--gvn --sccp --iv-users ,4.340099999999998,llvmorg-12.0.1-rc2
70,--gvn --ipsccp --licm ,4.164,llvmorg-12.0.1-rc2
71,--gvn --ipsccp --iv-users ,4.3729000000000005,llvmorg-12.0.1-rc2
72,--gvn --licm --iv-users ,4.620299999999999,llvmorg-12.0.1-rc2
73,--instcombine --inline --jump-threading ,4.295299999999999,llvmorg-12.0.1-rc2
74,--instcombine --inline --simplifycfg ,4.199599999999999,llvmorg-12.0.1-rc2
75,--instcombine --inline --sccp ,4.3732999999999995,llvmorg-12.0.1-rc2
76,--instcombine --inline --ipsccp ,4.370900000000001,llvmorg-12.0.1-rc2
77,--instcombine --inline --licm ,4.688900000000001,llvmorg-12.0.1-rc2
78,--instcombine --inline --iv-users ,5.1400999999999994,llvmorg-12.0.1-rc2
79,--instcombine --jump-threading --simplifycfg ,4.243999999999999,llvmorg-12.0.1-rc2
80,--instcombine --jump-threading --sccp ,4.4758,llvmorg-12.0.1-rc2
81,--instcombine --jump-threading --ipsccp ,4.5496000000000025,llvmorg-12.0.1-rc2
82,--instcombine --jump-threading --licm ,4.7596,llvmorg-12.0.1-rc2
83,--instcombine --jump-threading --iv-users ,5.238900000000001,llvmorg-12.0.1-rc2
84,--instcombine --simplifycfg --sccp ,4.437200000000002,llvmorg-12.0.1-rc2
85,--instcombine --simplifycfg --ipsccp ,4.4438,llvmorg-12.0.1-rc2
86,--instcombine --simplifycfg --licm ,4.744599999999999,llvmorg-12.0.1-rc2
87,--instcombine --simplifycfg --iv-users ,5.2602,llvmorg-12.0.1-rc2
88,--instcombine --sccp --ipsccp ,4.6236000000000015,llvmorg-12.0.1-rc2
89,--instcombine --sccp --licm ,4.950199999999999,llvmorg-12.0.1-rc2
90,--instcombine --sccp --iv-users ,5.265800000000001,llvmorg-12.0.1-rc2
91,--instcombine --ipsccp --licm ,5.0387,llvmorg-12.0.1-rc2
92,--instcombine --ipsccp --iv-users ,5.314400000000002,llvmorg-12.0.1-rc2
93,--instcombine --licm --iv-users ,5.685699999999999,llvmorg-12.0.1-rc2
94,--inline --jump-threading --simplifycfg ,1.2508,llvmorg-12.0.1-rc2
95,--inline --jump-threading --sccp ,1.5104000000000002,llvmorg-12.0.1-rc2
96,--inline --jump-threading --ipsccp ,1.4829000000000003,llvmorg-12.0.1-rc2
97,--inline --jump-threading --licm ,1.9214000000000002,llvmorg-12.0.1-rc2
98,--inline --jump-threading --iv-users ,1.9964,llvmorg-12.0.1-rc2
99,--inline --simplifycfg --sccp ,1.3339999999999996,llvmorg-12.0.1-rc2
100,--inline --simplifycfg --ipsccp ,1.3856000000000002,llvmorg-12.0.1-rc2
101,--inline --simplifycfg --licm ,1.7961000000000005,llvmorg-12.0.1-rc2
102,--inline --simplifycfg --iv-users ,1.8513,llvmorg-12.0.1-rc2
103,--inline --sccp --ipsccp ,1.5392000000000001,llvmorg-12.0.1-rc2
104,--inline --sccp --licm ,1.9648999999999996,llvmorg-12.0.1-rc2
105,--inline --sccp --iv-users ,2.0876000000000006,llvmorg-12.0.1-rc2
106,--inline --ipsccp --licm ,1.9916,llvmorg-12.0.1-rc2
107,--inline --ipsccp --iv-users ,2.0486,llvmorg-12.0.1-rc2
108,--inline --licm --iv-users ,2.5224,llvmorg-12.0.1-rc2
109,--jump-threading --simplifycfg --sccp ,1.4416999999999998,llvmorg-12.0.1-rc2
110,--jump-threading --simplifycfg --ipsccp ,1.5848,llvmorg-12.0.1-rc2
111,--jump-threading --simplifycfg --licm ,1.9360000000000002,llvmorg-12.0.1-rc2
112,--jump-threading --simplifycfg --iv-users ,2.010099999999999,llvmorg-12.0.1-rc2
113,--jump-threading --sccp --ipsccp ,1.7113000000000005,llvmorg-12.0.1-rc2
114,--jump-threading --sccp --licm ,1.9946000000000002,llvmorg-12.0.1-rc2
115,--jump-threading --sccp --iv-users ,2.1593999999999993,llvmorg-12.0.1-rc2
116,--jump-threading --ipsccp --licm ,2.1240000000000006,llvmorg-12.0.1-rc2
117,--jump-threading --ipsccp --iv-users ,2.3132999999999995,llvmorg-12.0.1-rc2
118,--jump-threading --licm --iv-users ,2.6437,llvmorg-12.0.1-rc2
119,--simplifycfg --sccp --ipsccp ,1.5922000000000005,llvmorg-12.0.1-rc2
120,--simplifycfg --sccp --licm ,1.966099999999999,llvmorg-12.0.1-rc2
121,--simplifycfg --sccp --iv-users ,2.0552,llvmorg-12.0.1-rc2
122,--simplifycfg --ipsccp --licm ,2.0288999999999997,llvmorg-12.0.1-rc2
123,--simplifycfg --ipsccp --iv-users ,2.0934999999999997,llvmorg-12.0.1-rc2
124,--simplifycfg --licm --iv-users ,2.4663999999999993,llvmorg-12.0.1-rc2
125,--sccp --ipsccp --licm ,2.1828000000000003,llvmorg-12.0.1-rc2
126,--sccp --ipsccp --iv-users ,2.3922999999999996,llvmorg-12.0.1-rc2
127,--sccp --licm --iv-users ,2.642799999999999,llvmorg-12.0.1-rc2
128,--ipsccp --licm --iv-users ,2.7173,llvmorg-12.0.1-rc2
129,--gvn --instcombine --inline --jump-threading ,5.502099999999999,llvmorg-12.0.1-rc2
