,config,time
0,--jump-threading ,2.200727939605713
1,--inline ,2.1858510971069336
2,--dce ,2.178496837615967
3,--loop-vectorize ,2.2839066982269287
4,--globalopt ,1.3652455806732178
5,--float2int ,1.3035902976989746
6,--aa ,1.3074095249176025
7,--objc-arc ,1.3089478015899658
8,--jump-threading --inline ,1.5430328845977783
9,--jump-threading --dce ,1.5022082328796387
10,--jump-threading --loop-vectorize ,2.1861212253570557
11,--jump-threading --globalopt ,1.5070750713348389
12,--jump-threading --float2int ,1.5292835235595703
13,--jump-threading --aa ,1.5098779201507568
14,--jump-threading --objc-arc ,1.5317623615264893
15,--inline --dce ,1.4440369606018066
16,--inline --loop-vectorize ,2.1558969020843506
17,--inline --globalopt ,1.4332935810089111
18,--inline --float2int ,1.3811111450195312
19,--inline --aa ,1.3747026920318604
20,--inline --objc-arc ,1.3976736068725586
21,--dce --loop-vectorize ,2.121657371520996
22,--dce --globalopt ,1.3780624866485596
23,--dce --float2int ,1.4023220539093018
24,--dce --aa ,1.3758151531219482
25,--dce --objc-arc ,1.4068212509155273
26,--loop-vectorize --globalopt ,2.1040456295013428
27,--loop-vectorize --float2int ,2.13793683052063
28,--loop-vectorize --aa ,2.1459338665008545
29,--loop-vectorize --objc-arc ,2.135139226913452
30,--globalopt --float2int ,1.3916773796081543
31,--globalopt --aa ,1.3959434032440186
32,--globalopt --objc-arc ,1.4003136157989502
33,--float2int --aa ,1.3290550708770752
34,--float2int --objc-arc ,1.3350541591644287
35,--aa --objc-arc ,1.321155309677124
36,--jump-threading --inline --dce ,1.5518765449523926
37,--jump-threading --inline --loop-vectorize ,2.213899612426758
38,--jump-threading --inline --globalopt ,1.525418996810913
39,--jump-threading --inline --float2int ,1.5699200630187988
40,--jump-threading --inline --aa ,1.5596847534179688
41,--jump-threading --inline --objc-arc ,1.5649118423461914
42,--jump-threading --dce --loop-vectorize ,2.227691173553467
43,--jump-threading --dce --globalopt ,1.5071113109588623
44,--jump-threading --dce --float2int ,1.525505542755127
45,--jump-threading --dce --aa ,1.517028570175171
46,--jump-threading --dce --objc-arc ,1.5163981914520264
47,--jump-threading --loop-vectorize --globalopt ,2.1861412525177
48,--jump-threading --loop-vectorize --float2int ,2.2100374698638916
49,--jump-threading --loop-vectorize --aa ,2.210371255874634
50,--jump-threading --loop-vectorize --objc-arc ,2.2116167545318604
51,--jump-threading --globalopt --float2int ,1.5196812152862549
52,--jump-threading --globalopt --aa ,1.5049068927764893
53,--jump-threading --globalopt --objc-arc ,1.5226469039916992
54,--jump-threading --float2int --aa ,1.5351731777191162
55,--jump-threading --float2int --objc-arc ,1.533886432647705
56,--jump-threading --aa --objc-arc ,1.5184800624847412
57,--inline --dce --loop-vectorize ,2.1517388820648193
58,--inline --dce --globalopt ,1.4274792671203613
59,--inline --dce --float2int ,1.4685380458831787
60,--inline --dce --aa ,1.4711055755615234
61,--inline --dce --objc-arc ,1.4783294200897217
62,--inline --loop-vectorize --globalopt ,2.1433238983154297
63,--inline --loop-vectorize --float2int ,2.168780565261841
64,--inline --loop-vectorize --aa ,2.1615843772888184
65,--inline --loop-vectorize --objc-arc ,2.177443504333496
66,--inline --globalopt --float2int ,1.4419097900390625
67,--inline --globalopt --aa ,1.4285085201263428
68,--inline --globalopt --objc-arc ,1.4549105167388916
69,--inline --float2int --aa ,1.402864933013916
70,--inline --float2int --objc-arc ,1.4140326976776123
71,--inline --aa --objc-arc ,1.3854241371154785
72,--dce --loop-vectorize --globalopt ,2.1341168880462646
73,--dce --loop-vectorize --float2int ,2.142854690551758
74,--dce --loop-vectorize --aa ,2.1327145099639893
75,--dce --loop-vectorize --objc-arc ,2.1405770778656006
76,--dce --globalopt --float2int ,1.404153823852539
77,--dce --globalopt --aa ,1.3921194076538086
78,--dce --globalopt --objc-arc ,1.3993067741394043
79,--dce --float2int --aa ,1.3963022232055664
80,--dce --float2int --objc-arc ,1.4126708507537842
81,--dce --aa --objc-arc ,1.4054672718048096
82,--loop-vectorize --globalopt --float2int ,2.1355674266815186
83,--loop-vectorize --globalopt --aa ,2.1279349327087402
84,--loop-vectorize --globalopt --objc-arc ,2.1342360973358154
85,--loop-vectorize --float2int --aa ,2.1505892276763916
86,--loop-vectorize --float2int --objc-arc ,2.1529436111450195
87,--loop-vectorize --aa --objc-arc ,2.1350865364074707
88,--globalopt --float2int --aa ,1.3937897682189941
89,--globalopt --float2int --objc-arc ,1.3967320919036865
90,--globalopt --aa --objc-arc ,1.399979591369629
91,--float2int --aa --objc-arc ,1.3321774005889893
92,--jump-threading --inline --dce --loop-vectorize ,2.2469027042388916
93,--jump-threading --inline --dce --globalopt ,1.5439348220825195
94,--jump-threading --inline --dce --float2int ,1.562556505203247
95,--jump-threading --inline --dce --aa ,1.5613820552825928
96,--jump-threading --inline --dce --objc-arc ,1.5618863105773926
97,--jump-threading --inline --loop-vectorize --globalopt ,2.214848756790161
98,--jump-threading --inline --loop-vectorize --float2int ,2.241614818572998
99,--jump-threading --inline --loop-vectorize --aa ,2.2326276302337646
100,--jump-threading --inline --loop-vectorize --objc-arc ,2.2292275428771973
101,--jump-threading --inline --globalopt --float2int ,1.5480308532714844
102,--jump-threading --inline --globalopt --aa ,1.5471298694610596
103,--jump-threading --inline --globalopt --objc-arc ,1.5457653999328613
