,config,time
0,--jump-threading ,9.407582759857178
1,--inline ,1.497054100036621
2,--dce ,1.539259910583496
3,--loop-vectorize ,2.061326742172241
4,--globalopt ,1.5085651874542236
5,--float2int ,1.4650764465332031
6,--aa ,1.4739537239074707
7,--objc-arc ,1.5127599239349365
8,--jump-threading --inline ,1.7571704387664795
9,--jump-threading --dce ,1.8028061389923096
10,--jump-threading --loop-vectorize ,2.228951930999756
11,--jump-threading --globalopt ,1.69962739944458
12,--jump-threading --float2int ,1.7415311336517334
13,--jump-threading --aa ,1.804704189300537
14,--jump-threading --objc-arc ,1.7543890476226807
15,--inline --dce ,1.561856985092163
16,--inline --loop-vectorize ,2.1306562423706055
17,--inline --globalopt ,1.5775926113128662
18,--inline --float2int ,1.534529447555542
19,--inline --aa ,1.5214624404907227
20,--inline --objc-arc ,1.5718467235565186
21,--dce --loop-vectorize ,2.1490187644958496
22,--dce --globalopt ,1.5829441547393799
23,--dce --float2int ,1.5896317958831787
24,--dce --aa ,1.6316742897033691
25,--dce --objc-arc ,1.5934510231018066
26,--loop-vectorize --globalopt ,2.057391405105591
27,--loop-vectorize --float2int ,2.103360891342163
28,--loop-vectorize --aa ,2.1020967960357666
29,--loop-vectorize --objc-arc ,2.1007442474365234
30,--globalopt --float2int ,1.5500495433807373
31,--globalopt --aa ,1.562875747680664
32,--globalopt --objc-arc ,1.5434491634368896
33,--float2int --aa ,1.5088391304016113
34,--float2int --objc-arc ,1.5179693698883057
35,--aa --objc-arc ,1.4981834888458252
36,--jump-threading --inline --dce ,1.7174091339111328
37,--jump-threading --inline --loop-vectorize ,2.246183156967163
38,--jump-threading --inline --globalopt ,1.6849665641784668
39,--jump-threading --inline --float2int ,1.7185099124908447
40,--jump-threading --inline --aa ,1.7255592346191406
41,--jump-threading --inline --objc-arc ,1.7433652877807617
42,--jump-threading --dce --loop-vectorize ,2.231222152709961
43,--jump-threading --dce --globalopt ,1.7060182094573975
44,--jump-threading --dce --float2int ,1.7985434532165527
45,--jump-threading --dce --aa ,1.7185273170471191
46,--jump-threading --dce --objc-arc ,1.714951753616333
47,--jump-threading --loop-vectorize --globalopt ,2.1936397552490234
48,--jump-threading --loop-vectorize --float2int ,2.229564666748047
49,--jump-threading --loop-vectorize --aa ,2.2491350173950195
50,--jump-threading --loop-vectorize --objc-arc ,2.246519088745117
51,--jump-threading --globalopt --float2int ,1.7413604259490967
52,--jump-threading --globalopt --aa ,1.7440004348754883
53,--jump-threading --globalopt --objc-arc ,1.7368967533111572
54,--jump-threading --float2int --aa ,1.7675111293792725
55,--jump-threading --float2int --objc-arc ,1.7465534210205078
56,--jump-threading --aa --objc-arc ,1.7465589046478271
57,--inline --dce --loop-vectorize ,2.1781675815582275
58,--inline --dce --globalopt ,1.6469900608062744
59,--inline --dce --float2int ,1.6621317863464355
60,--inline --dce --aa ,1.70701265335083
61,--inline --dce --objc-arc ,1.6730766296386719
62,--inline --loop-vectorize --globalopt ,2.154120445251465
63,--inline --loop-vectorize --float2int ,2.1826319694519043
64,--inline --loop-vectorize --aa ,2.2012696266174316
65,--inline --loop-vectorize --objc-arc ,2.189868211746216
66,--inline --globalopt --float2int ,1.6552295684814453
67,--inline --globalopt --aa ,1.638026237487793
68,--inline --globalopt --objc-arc ,1.6538267135620117
69,--inline --float2int --aa ,1.5738811492919922
70,--inline --float2int --objc-arc ,1.592841386795044
71,--inline --aa --objc-arc ,1.5733439922332764
72,--dce --loop-vectorize --globalopt ,2.1629092693328857
73,--dce --loop-vectorize --float2int ,2.1465344429016113
74,--dce --loop-vectorize --aa ,2.1828415393829346
75,--dce --loop-vectorize --objc-arc ,2.185598373413086
76,--dce --globalopt --float2int ,1.5941996574401855
