,config,time
0,--jump-threading ,9.726951599121094
1,--inline ,1.5386183261871338
2,--dce ,1.942633867263794
3,--loop-vectorize ,2.0181853771209717
4,--globalopt ,1.454627513885498
5,--float2int ,1.307892084121704
6,--aa ,1.5830330848693848
7,--objc-arc ,1.4724841117858887
8,--jump-threading --inline ,2.046856164932251
9,--jump-threading --dce ,1.5720982551574707
10,--jump-threading --loop-vectorize ,2.1173853874206543
11,--jump-threading --globalopt ,1.565880537033081
12,--jump-threading --float2int ,1.5493097305297852
13,--jump-threading --aa ,1.5836544036865234
14,--jump-threading --objc-arc ,1.5767993927001953
15,--inline --dce ,1.489537000656128
16,--inline --loop-vectorize ,1.9722342491149902
17,--inline --globalopt ,1.4540178775787354
18,--inline --float2int ,1.4139156341552734
19,--inline --aa ,1.4007582664489746
20,--inline --objc-arc ,1.3956201076507568
21,--dce --loop-vectorize ,1.9080312252044678
22,--dce --globalopt ,1.3944246768951416
23,--dce --float2int ,1.3977980613708496
24,--dce --aa ,1.4630868434906006
25,--dce --objc-arc ,1.458294153213501
26,--loop-vectorize --globalopt ,1.9049646854400635
27,--loop-vectorize --float2int ,1.9134373664855957
28,--loop-vectorize --aa ,1.9128119945526123
29,--loop-vectorize --objc-arc ,1.912160873413086
30,--globalopt --float2int ,1.388343334197998
31,--globalopt --aa ,1.403299331665039
32,--globalopt --objc-arc ,1.4122626781463623
33,--float2int --aa ,1.339015007019043
34,--float2int --objc-arc ,1.339662790298462
35,--aa --objc-arc ,1.3364880084991455
36,--jump-threading --inline --dce ,1.5407841205596924
37,--jump-threading --inline --loop-vectorize ,1.9923758506774902
38,--jump-threading --inline --globalopt ,1.524162769317627
39,--jump-threading --inline --float2int ,1.5464990139007568
40,--jump-threading --inline --aa ,1.5347204208374023
41,--jump-threading --inline --objc-arc ,1.5471742153167725
42,--jump-threading --dce --loop-vectorize ,1.9680447578430176
43,--jump-threading --dce --globalopt ,1.4927313327789307
44,--jump-threading --dce --float2int ,1.5206184387207031
45,--jump-threading --dce --aa ,1.5091757774353027
46,--jump-threading --dce --objc-arc ,1.514512062072754
47,--jump-threading --loop-vectorize --globalopt ,1.9540948867797852
48,--jump-threading --loop-vectorize --float2int ,1.9811270236968994
49,--jump-threading --loop-vectorize --aa ,1.9596340656280518
50,--jump-threading --loop-vectorize --objc-arc ,1.9849748611450195
51,--jump-threading --globalopt --float2int ,1.5198121070861816
52,--jump-threading --globalopt --aa ,1.5126326084136963
53,--jump-threading --globalopt --objc-arc ,1.5250849723815918
54,--jump-threading --float2int --aa ,1.5310029983520508
55,--jump-threading --float2int --objc-arc ,1.5484869480133057
56,--jump-threading --aa --objc-arc ,1.5614044666290283
57,--inline --dce --loop-vectorize ,1.9765281677246094
58,--inline --dce --globalopt ,1.4413275718688965
59,--inline --dce --float2int ,1.4769554138183594
60,--inline --dce --aa ,1.4715814590454102
61,--inline --dce --objc-arc ,1.479860544204712
62,--inline --loop-vectorize --globalopt ,1.924746036529541
63,--inline --loop-vectorize --float2int ,1.9478354454040527
64,--inline --loop-vectorize --aa ,1.9390642642974854
65,--inline --loop-vectorize --objc-arc ,1.940086841583252
66,--inline --globalopt --float2int ,1.439384937286377
67,--inline --globalopt --aa ,1.4347631931304932
68,--inline --globalopt --objc-arc ,1.4420297145843506
69,--inline --float2int --aa ,1.396106243133545
70,--inline --float2int --objc-arc ,1.3936216831207275
71,--inline --aa --objc-arc ,1.431685447692871
72,--dce --loop-vectorize --globalopt ,1.9045236110687256
73,--dce --loop-vectorize --float2int ,1.9234681129455566
74,--dce --loop-vectorize --aa ,1.9189112186431885
75,--dce --loop-vectorize --objc-arc ,1.9278838634490967
76,--dce --globalopt --float2int ,1.412503957748413
77,--dce --globalopt --aa ,1.42185640335083
78,--dce --globalopt --objc-arc ,1.4255695343017578
79,--dce --float2int --aa ,1.4296681880950928
80,--dce --float2int --objc-arc ,1.4298806190490723
81,--dce --aa --objc-arc ,1.4283978939056396
82,--loop-vectorize --globalopt --float2int ,1.9142117500305176
83,--loop-vectorize --globalopt --aa ,1.9203007221221924
84,--loop-vectorize --globalopt --objc-arc ,1.9302875995635986
85,--loop-vectorize --float2int --aa ,1.9176812171936035
86,--loop-vectorize --float2int --objc-arc ,1.9155638217926025
87,--loop-vectorize --aa --objc-arc ,1.9080660343170166
88,--globalopt --float2int --aa ,1.4272491931915283
89,--globalopt --float2int --objc-arc ,1.4167320728302002
90,--globalopt --aa --objc-arc ,1.4095003604888916
91,--float2int --aa --objc-arc ,1.3413326740264893
92,--jump-threading --inline --dce --loop-vectorize ,2.000793695449829
93,--jump-threading --inline --dce --globalopt ,1.531571865081787
94,--jump-threading --inline --dce --float2int ,1.5496106147766113
95,--jump-threading --inline --dce --aa ,1.5406131744384766
96,--jump-threading --inline --dce --objc-arc ,1.5496094226837158
97,--jump-threading --inline --loop-vectorize --globalopt ,1.988717794418335
98,--jump-threading --inline --loop-vectorize --float2int ,2.0146093368530273
99,--jump-threading --inline --loop-vectorize --aa ,2.0029401779174805
100,--jump-threading --inline --loop-vectorize --objc-arc ,2.0107979774475098
101,--jump-threading --inline --globalopt --float2int ,1.5386488437652588
102,--jump-threading --inline --globalopt --aa ,1.5352492332458496
