,config,time,commit
0,--gvn ,3.4571000000000014,llvmorg-12.0.1-rc1
1,--instcombine ,3.961599999999999,llvmorg-12.0.1-rc1
2,--inline ,0.8684000000000003,llvmorg-12.0.1-rc1
3,--jump-threading ,1.1432999999999995,llvmorg-12.0.1-rc1
4,--simplifycfg ,1.0359999999999998,llvmorg-12.0.1-rc1
5,--sccp ,1.1489,llvmorg-12.0.1-rc1
6,--ipsccp ,1.2914,llvmorg-12.0.1-rc1
7,--licm ,1.6173999999999997,llvmorg-12.0.1-rc1
8,--iv-users ,1.7851,llvmorg-12.0.1-rc1
9,--gvn --instcombine ,5.2066,llvmorg-12.0.1-rc1
10,--gvn --inline ,3.3940000000000015,llvmorg-12.0.1-rc1
11,--gvn --jump-threading ,3.5242000000000004,llvmorg-12.0.1-rc1
12,--gvn --simplifycfg ,3.438600000000001,llvmorg-12.0.1-rc1
13,--gvn --sccp ,3.5241,llvmorg-12.0.1-rc1
14,--gvn --ipsccp ,3.612899999999999,llvmorg-12.0.1-rc1
15,--gvn --licm ,3.8751,llvmorg-12.0.1-rc1
16,--gvn --iv-users ,4.0508000000000015,llvmorg-12.0.1-rc1
17,--instcombine --inline ,4.0119,llvmorg-12.0.1-rc1
18,--instcombine --jump-threading ,4.0304,llvmorg-12.0.1-rc1
19,--instcombine --simplifycfg ,3.9691,llvmorg-12.0.1-rc1
20,--instcombine --sccp ,4.122999999999998,llvmorg-12.0.1-rc1
21,--instcombine --ipsccp ,4.196,llvmorg-12.0.1-rc1
22,--instcombine --licm ,4.459400000000001,llvmorg-12.0.1-rc1
23,--instcombine --iv-users ,4.805400000000001,llvmorg-12.0.1-rc1
24,--inline --jump-threading ,1.1424000000000003,llvmorg-12.0.1-rc1
25,--inline --simplifycfg ,1.0263000000000002,llvmorg-12.0.1-rc1
26,--inline --sccp ,1.2277999999999998,llvmorg-12.0.1-rc1
27,--inline --ipsccp ,1.3673,llvmorg-12.0.1-rc1
28,--inline --licm ,1.6953000000000003,llvmorg-12.0.1-rc1
29,--inline --iv-users ,1.763,llvmorg-12.0.1-rc1
30,--jump-threading --simplifycfg ,1.1537,llvmorg-12.0.1-rc1
31,--jump-threading --sccp ,1.2982,llvmorg-12.0.1-rc1
32,--jump-threading --ipsccp ,1.3895000000000004,llvmorg-12.0.1-rc1
33,--jump-threading --licm ,1.6958000000000002,llvmorg-12.0.1-rc1
34,--jump-threading --iv-users ,1.8358000000000005,llvmorg-12.0.1-rc1
35,--simplifycfg --sccp ,1.2317,llvmorg-12.0.1-rc1
36,--simplifycfg --ipsccp ,1.2967,llvmorg-12.0.1-rc1
37,--simplifycfg --licm ,1.6341000000000003,llvmorg-12.0.1-rc1
38,--simplifycfg --iv-users ,1.7616999999999998,llvmorg-12.0.1-rc1
39,--sccp --ipsccp ,1.5264000000000002,llvmorg-12.0.1-rc1
40,--sccp --licm ,1.8467000000000011,llvmorg-12.0.1-rc1
41,--sccp --iv-users ,2.0035,llvmorg-12.0.1-rc1
42,--ipsccp --licm ,1.8852000000000007,llvmorg-12.0.1-rc1
43,--ipsccp --iv-users ,2.004800000000001,llvmorg-12.0.1-rc1
44,--licm --iv-users ,2.3137000000000003,llvmorg-12.0.1-rc1
45,--gvn --instcombine --inline ,5.254700000000003,llvmorg-12.0.1-rc1
46,--gvn --instcombine --jump-threading ,5.281699999999999,llvmorg-12.0.1-rc1
47,--gvn --instcombine --simplifycfg ,5.200100000000001,llvmorg-12.0.1-rc1
48,--gvn --instcombine --sccp ,5.3116,llvmorg-12.0.1-rc1
49,--gvn --instcombine --ipsccp ,5.400999999999999,llvmorg-12.0.1-rc1
50,--gvn --instcombine --licm ,5.6430000000000025,llvmorg-12.0.1-rc1
51,--gvn --instcombine --iv-users ,5.9395,llvmorg-12.0.1-rc1
52,--gvn --inline --jump-threading ,3.507299999999999,llvmorg-12.0.1-rc1
53,--gvn --inline --simplifycfg ,3.441100000000001,llvmorg-12.0.1-rc1
54,--gvn --inline --sccp ,3.5581000000000005,llvmorg-12.0.1-rc1
55,--gvn --inline --ipsccp ,3.6570000000000014,llvmorg-12.0.1-rc1
56,--gvn --inline --licm ,3.8519000000000005,llvmorg-12.0.1-rc1
57,--gvn --inline --iv-users ,4.059200000000001,llvmorg-12.0.1-rc1
58,--gvn --jump-threading --simplifycfg ,3.563400000000001,llvmorg-12.0.1-rc1
59,--gvn --jump-threading --sccp ,3.6793,llvmorg-12.0.1-rc1
60,--gvn --jump-threading --ipsccp ,3.6822000000000012,llvmorg-12.0.1-rc1
61,--gvn --jump-threading --licm ,3.9686000000000017,llvmorg-12.0.1-rc1
62,--gvn --jump-threading --iv-users ,4.158099999999999,llvmorg-12.0.1-rc1
63,--gvn --simplifycfg --sccp ,3.595600000000002,llvmorg-12.0.1-rc1
64,--gvn --simplifycfg --ipsccp ,3.6440000000000015,llvmorg-12.0.1-rc1
65,--gvn --simplifycfg --licm ,3.8951000000000002,llvmorg-12.0.1-rc1
66,--gvn --simplifycfg --iv-users ,4.130099999999998,llvmorg-12.0.1-rc1
67,--gvn --sccp --ipsccp ,3.7586000000000004,llvmorg-12.0.1-rc1
68,--gvn --sccp --licm ,3.988500000000001,llvmorg-12.0.1-rc1
69,--gvn --sccp --iv-users ,4.161300000000001,llvmorg-12.0.1-rc1
70,--gvn --ipsccp --licm ,4.0798000000000005,llvmorg-12.0.1-rc1
71,--gvn --ipsccp --iv-users ,4.200400000000001,llvmorg-12.0.1-rc1
72,--gvn --licm --iv-users ,4.508500000000001,llvmorg-12.0.1-rc1
73,--instcombine --inline --jump-threading ,4.083900000000001,llvmorg-12.0.1-rc1
74,--instcombine --inline --simplifycfg ,4.0701,llvmorg-12.0.1-rc1
75,--instcombine --inline --sccp ,4.196900000000001,llvmorg-12.0.1-rc1
76,--instcombine --inline --ipsccp ,4.1671000000000005,llvmorg-12.0.1-rc1
77,--instcombine --inline --licm ,4.4597000000000016,llvmorg-12.0.1-rc1
78,--instcombine --inline --iv-users ,4.916500000000001,llvmorg-12.0.1-rc1
79,--instcombine --jump-threading --simplifycfg ,4.0563,llvmorg-12.0.1-rc1
80,--instcombine --jump-threading --sccp ,4.236300000000001,llvmorg-12.0.1-rc1
81,--instcombine --jump-threading --ipsccp ,4.275600000000001,llvmorg-12.0.1-rc1
82,--instcombine --jump-threading --licm ,4.543100000000001,llvmorg-12.0.1-rc1
83,--instcombine --jump-threading --iv-users ,4.9794,llvmorg-12.0.1-rc1
84,--instcombine --simplifycfg --sccp ,4.238400000000001,llvmorg-12.0.1-rc1
85,--instcombine --simplifycfg --ipsccp ,4.271,llvmorg-12.0.1-rc1
86,--instcombine --simplifycfg --licm ,4.570899999999999,llvmorg-12.0.1-rc1
87,--instcombine --simplifycfg --iv-users ,4.899800000000003,llvmorg-12.0.1-rc1
88,--instcombine --sccp --ipsccp ,4.423800000000001,llvmorg-12.0.1-rc1
89,--instcombine --sccp --licm ,4.674199999999998,llvmorg-12.0.1-rc1
90,--instcombine --sccp --iv-users ,5.083100000000001,llvmorg-12.0.1-rc1
91,--instcombine --ipsccp --licm ,4.710500000000001,llvmorg-12.0.1-rc1
92,--instcombine --ipsccp --iv-users ,5.111400000000001,llvmorg-12.0.1-rc1
93,--instcombine --licm --iv-users ,5.372299999999999,llvmorg-12.0.1-rc1
94,--inline --jump-threading --simplifycfg ,1.2264000000000002,llvmorg-12.0.1-rc1
95,--inline --jump-threading --sccp ,1.3550999999999997,llvmorg-12.0.1-rc1
96,--inline --jump-threading --ipsccp ,1.478900000000001,llvmorg-12.0.1-rc1
97,--inline --jump-threading --licm ,1.7081000000000004,llvmorg-12.0.1-rc1
98,--inline --jump-threading --iv-users ,1.9121000000000006,llvmorg-12.0.1-rc1
99,--inline --simplifycfg --sccp ,1.2684000000000004,llvmorg-12.0.1-rc1
100,--inline --simplifycfg --ipsccp ,1.3666,llvmorg-12.0.1-rc1
101,--inline --simplifycfg --licm ,1.6975000000000002,llvmorg-12.0.1-rc1
102,--inline --simplifycfg --iv-users ,1.9080000000000001,llvmorg-12.0.1-rc1
103,--inline --sccp --ipsccp ,1.5435999999999999,llvmorg-12.0.1-rc1
104,--inline --sccp --licm ,1.8612000000000004,llvmorg-12.0.1-rc1
105,--inline --sccp --iv-users ,2.018,llvmorg-12.0.1-rc1
106,--inline --ipsccp --licm ,1.8525000000000003,llvmorg-12.0.1-rc1
107,--inline --ipsccp --iv-users ,1.9674999999999996,llvmorg-12.0.1-rc1
108,--inline --licm --iv-users ,2.4811,llvmorg-12.0.1-rc1
109,--jump-threading --simplifycfg --sccp ,1.3790999999999998,llvmorg-12.0.1-rc1
110,--jump-threading --simplifycfg --ipsccp ,1.4409000000000003,llvmorg-12.0.1-rc1
111,--jump-threading --simplifycfg --licm ,1.7775000000000005,llvmorg-12.0.1-rc1
112,--jump-threading --simplifycfg --iv-users ,1.8783999999999996,llvmorg-12.0.1-rc1
113,--jump-threading --sccp --ipsccp ,1.6495,llvmorg-12.0.1-rc1
114,--jump-threading --sccp --licm ,1.9247999999999996,llvmorg-12.0.1-rc1
115,--jump-threading --sccp --iv-users ,2.0673999999999997,llvmorg-12.0.1-rc1
116,--jump-threading --ipsccp --licm ,1.9564000000000001,llvmorg-12.0.1-rc1
117,--jump-threading --ipsccp --iv-users ,2.0776000000000003,llvmorg-12.0.1-rc1
118,--jump-threading --licm --iv-users ,2.475200000000001,llvmorg-12.0.1-rc1
119,--simplifycfg --sccp --ipsccp ,1.5251,llvmorg-12.0.1-rc1
120,--simplifycfg --sccp --licm ,1.8516000000000001,llvmorg-12.0.1-rc1
121,--simplifycfg --sccp --iv-users ,1.9863000000000004,llvmorg-12.0.1-rc1
122,--simplifycfg --ipsccp --licm ,1.8993000000000007,llvmorg-12.0.1-rc1
123,--simplifycfg --ipsccp --iv-users ,2.0254999999999996,llvmorg-12.0.1-rc1
124,--simplifycfg --licm --iv-users ,2.3901,llvmorg-12.0.1-rc1
125,--sccp --ipsccp --licm ,2.0725000000000007,llvmorg-12.0.1-rc1
126,--sccp --ipsccp --iv-users ,2.2521999999999998,llvmorg-12.0.1-rc1
127,--sccp --licm --iv-users ,2.5766999999999998,llvmorg-12.0.1-rc1
128,--ipsccp --licm --iv-users ,2.5902000000000007,llvmorg-12.0.1-rc1
129,--gvn --instcombine --inline --jump-threading ,5.262200000000001,llvmorg-12.0.1-rc1
