,config,time,commit
0,--gvn ,3.556000000000001,llvmorg-12.0.0-rc4
1,--instcombine ,4.059,llvmorg-12.0.0-rc4
2,--inline ,0.8752,llvmorg-12.0.0-rc4
3,--jump-threading ,1.1556999999999997,llvmorg-12.0.0-rc4
4,--simplifycfg ,1.032,llvmorg-12.0.0-rc4
5,--sccp ,1.2200999999999997,llvmorg-12.0.0-rc4
6,--ipsccp ,1.3456000000000004,llvmorg-12.0.0-rc4
7,--licm ,1.7189999999999996,llvmorg-12.0.0-rc4
8,--iv-users ,1.8295999999999994,llvmorg-12.0.0-rc4
9,--gvn --instcombine ,5.337499999999998,llvmorg-12.0.0-rc4
10,--gvn --inline ,3.5980000000000008,llvmorg-12.0.0-rc4
11,--gvn --jump-threading ,3.6813000000000002,llvmorg-12.0.0-rc4
12,--gvn --simplifycfg ,3.5971999999999995,llvmorg-12.0.0-rc4
13,--gvn --sccp ,3.7586,llvmorg-12.0.0-rc4
14,--gvn --ipsccp ,3.7952,llvmorg-12.0.0-rc4
15,--gvn --licm ,4.0332,llvmorg-12.0.0-rc4
16,--gvn --iv-users ,4.1652999999999984,llvmorg-12.0.0-rc4
17,--instcombine --inline ,4.092499999999999,llvmorg-12.0.0-rc4
18,--instcombine --jump-threading ,4.219699999999999,llvmorg-12.0.0-rc4
19,--instcombine --simplifycfg ,4.045499999999999,llvmorg-12.0.0-rc4
20,--instcombine --sccp ,4.131899999999999,llvmorg-12.0.0-rc4
21,--instcombine --ipsccp ,4.189299999999999,llvmorg-12.0.0-rc4
22,--instcombine --licm ,4.501599999999997,llvmorg-12.0.0-rc4
23,--instcombine --iv-users ,4.8519000000000005,llvmorg-12.0.0-rc4
24,--inline --jump-threading ,1.1894999999999996,llvmorg-12.0.0-rc4
25,--inline --simplifycfg ,1.0833,llvmorg-12.0.0-rc4
26,--inline --sccp ,1.2429999999999994,llvmorg-12.0.0-rc4
27,--inline --ipsccp ,1.3199999999999994,llvmorg-12.0.0-rc4
28,--inline --licm ,1.6308000000000005,llvmorg-12.0.0-rc4
29,--inline --iv-users ,1.8062999999999998,llvmorg-12.0.0-rc4
30,--jump-threading --simplifycfg ,1.1975999999999998,llvmorg-12.0.0-rc4
31,--jump-threading --sccp ,1.3763,llvmorg-12.0.0-rc4
32,--jump-threading --ipsccp ,1.3995000000000002,llvmorg-12.0.0-rc4
33,--jump-threading --licm ,1.7322,llvmorg-12.0.0-rc4
34,--jump-threading --iv-users ,1.8736000000000004,llvmorg-12.0.0-rc4
35,--simplifycfg --sccp ,1.2445999999999997,llvmorg-12.0.0-rc4
36,--simplifycfg --ipsccp ,1.3562,llvmorg-12.0.0-rc4
37,--simplifycfg --licm ,1.7154999999999996,llvmorg-12.0.0-rc4
38,--simplifycfg --iv-users ,1.8346,llvmorg-12.0.0-rc4
39,--sccp --ipsccp ,1.5725,llvmorg-12.0.0-rc4
40,--sccp --licm ,1.9434999999999996,llvmorg-12.0.0-rc4
41,--sccp --iv-users ,2.0454999999999997,llvmorg-12.0.0-rc4
42,--ipsccp --licm ,1.9475000000000007,llvmorg-12.0.0-rc4
43,--ipsccp --iv-users ,2.1106000000000003,llvmorg-12.0.0-rc4
44,--licm --iv-users ,2.4910999999999994,llvmorg-12.0.0-rc4
45,--gvn --instcombine --inline ,5.3508,llvmorg-12.0.0-rc4
46,--gvn --instcombine --jump-threading ,5.4208,llvmorg-12.0.0-rc4
47,--gvn --instcombine --simplifycfg ,5.328600000000001,llvmorg-12.0.0-rc4
48,--gvn --instcombine --sccp ,5.541,llvmorg-12.0.0-rc4
49,--gvn --instcombine --ipsccp ,5.6959000000000035,llvmorg-12.0.0-rc4
50,--gvn --instcombine --licm ,5.825400000000001,llvmorg-12.0.0-rc4
51,--gvn --instcombine --iv-users ,6.3077,llvmorg-12.0.0-rc4
52,--gvn --inline --jump-threading ,3.6800999999999995,llvmorg-12.0.0-rc4
53,--gvn --inline --simplifycfg ,3.6863,llvmorg-12.0.0-rc4
54,--gvn --inline --sccp ,3.717800000000001,llvmorg-12.0.0-rc4
55,--gvn --inline --ipsccp ,3.7243,llvmorg-12.0.0-rc4
56,--gvn --inline --licm ,3.9428,llvmorg-12.0.0-rc4
57,--gvn --inline --iv-users ,4.1131,llvmorg-12.0.0-rc4
58,--gvn --jump-threading --simplifycfg ,3.5746000000000007,llvmorg-12.0.0-rc4
59,--gvn --jump-threading --sccp ,3.6886999999999994,llvmorg-12.0.0-rc4
60,--gvn --jump-threading --ipsccp ,3.7742999999999993,llvmorg-12.0.0-rc4
61,--gvn --jump-threading --licm ,4.007899999999999,llvmorg-12.0.0-rc4
62,--gvn --jump-threading --iv-users ,4.200599999999999,llvmorg-12.0.0-rc4
63,--gvn --simplifycfg --sccp ,3.610499999999999,llvmorg-12.0.0-rc4
64,--gvn --simplifycfg --ipsccp ,3.631500000000001,llvmorg-12.0.0-rc4
65,--gvn --simplifycfg --licm ,3.950399999999999,llvmorg-12.0.0-rc4
66,--gvn --simplifycfg --iv-users ,4.103299999999999,llvmorg-12.0.0-rc4
67,--gvn --sccp --ipsccp ,3.7933,llvmorg-12.0.0-rc4
68,--gvn --sccp --licm ,4.028199999999999,llvmorg-12.0.0-rc4
69,--gvn --sccp --iv-users ,4.2285,llvmorg-12.0.0-rc4
70,--gvn --ipsccp --licm ,4.033299999999999,llvmorg-12.0.0-rc4
71,--gvn --ipsccp --iv-users ,4.255199999999998,llvmorg-12.0.0-rc4
72,--gvn --licm --iv-users ,4.502599999999999,llvmorg-12.0.0-rc4
73,--instcombine --inline --jump-threading ,4.0118,llvmorg-12.0.0-rc4
74,--instcombine --inline --simplifycfg ,4.060500000000001,llvmorg-12.0.0-rc4
75,--instcombine --inline --sccp ,4.193399999999998,llvmorg-12.0.0-rc4
76,--instcombine --inline --ipsccp ,4.2783999999999995,llvmorg-12.0.0-rc4
77,--instcombine --inline --licm ,4.497099999999998,llvmorg-12.0.0-rc4
78,--instcombine --inline --iv-users ,4.869499999999997,llvmorg-12.0.0-rc4
79,--instcombine --jump-threading --simplifycfg ,4.0727,llvmorg-12.0.0-rc4
80,--instcombine --jump-threading --sccp ,4.2568,llvmorg-12.0.0-rc4
81,--instcombine --jump-threading --ipsccp ,4.328799999999998,llvmorg-12.0.0-rc4
82,--instcombine --jump-threading --licm ,4.595000000000001,llvmorg-12.0.0-rc4
83,--instcombine --jump-threading --iv-users ,4.9537999999999975,llvmorg-12.0.0-rc4
84,--instcombine --simplifycfg --sccp ,4.186499999999999,llvmorg-12.0.0-rc4
85,--instcombine --simplifycfg --ipsccp ,4.219699999999998,llvmorg-12.0.0-rc4
86,--instcombine --simplifycfg --licm ,4.5498,llvmorg-12.0.0-rc4
87,--instcombine --simplifycfg --iv-users ,4.902100000000001,llvmorg-12.0.0-rc4
88,--instcombine --sccp --ipsccp ,4.360199999999999,llvmorg-12.0.0-rc4
89,--instcombine --sccp --licm ,4.6934,llvmorg-12.0.0-rc4
90,--instcombine --sccp --iv-users ,5.036900000000001,llvmorg-12.0.0-rc4
91,--instcombine --ipsccp --licm ,4.6873000000000005,llvmorg-12.0.0-rc4
92,--instcombine --ipsccp --iv-users ,5.135000000000001,llvmorg-12.0.0-rc4
93,--instcombine --licm --iv-users ,5.4265,llvmorg-12.0.0-rc4
94,--inline --jump-threading --simplifycfg ,1.2071000000000003,llvmorg-12.0.0-rc4
95,--inline --jump-threading --sccp ,1.4381000000000004,llvmorg-12.0.0-rc4
96,--inline --jump-threading --ipsccp ,1.4053,llvmorg-12.0.0-rc4
97,--inline --jump-threading --licm ,1.7936,llvmorg-12.0.0-rc4
98,--inline --jump-threading --iv-users ,1.9158000000000002,llvmorg-12.0.0-rc4
99,--inline --simplifycfg --sccp ,1.3299,llvmorg-12.0.0-rc4
100,--inline --simplifycfg --ipsccp ,1.3221,llvmorg-12.0.0-rc4
101,--inline --simplifycfg --licm ,1.6929000000000003,llvmorg-12.0.0-rc4
102,--inline --simplifycfg --iv-users ,1.8952000000000002,llvmorg-12.0.0-rc4
103,--inline --sccp --ipsccp ,1.5695000000000006,llvmorg-12.0.0-rc4
104,--inline --sccp --licm ,1.9065999999999996,llvmorg-12.0.0-rc4
105,--inline --sccp --iv-users ,2.0564999999999998,llvmorg-12.0.0-rc4
106,--inline --ipsccp --licm ,1.934,llvmorg-12.0.0-rc4
107,--inline --ipsccp --iv-users ,2.081699999999999,llvmorg-12.0.0-rc4
108,--inline --licm --iv-users ,2.3725999999999994,llvmorg-12.0.0-rc4
109,--jump-threading --simplifycfg --sccp ,1.3796000000000002,llvmorg-12.0.0-rc4
110,--jump-threading --simplifycfg --ipsccp ,1.4293000000000002,llvmorg-12.0.0-rc4
111,--jump-threading --simplifycfg --licm ,1.8157999999999996,llvmorg-12.0.0-rc4
112,--jump-threading --simplifycfg --iv-users ,1.8544999999999994,llvmorg-12.0.0-rc4
113,--jump-threading --sccp --ipsccp ,1.6031000000000006,llvmorg-12.0.0-rc4
114,--jump-threading --sccp --licm ,1.9331999999999996,llvmorg-12.0.0-rc4
