,config,time,commit_num
124,--simplifycfg --licm --iv-users ,2.4167,0
125,--sccp --ipsccp --licm ,2.0971,0
126,--sccp --ipsccp --iv-users ,2.271100000000001,0
127,--sccp --licm --iv-users ,2.5596,0
128,--ipsccp --licm --iv-users ,2.5421000000000005,0
129,--gvn --instcombine --inline --jump-threading ,5.314600000000001,0
130,--gvn --instcombine --inline --simplifycfg ,5.189,0
131,--gvn --instcombine --inline --sccp ,5.342800000000002,0
132,--gvn --instcombine --inline --ipsccp ,5.364600000000001,0
133,--gvn --instcombine --inline --licm ,5.519800000000003,0
134,--gvn --instcombine --inline --iv-users ,5.966099999999998,0
135,--gvn --instcombine --jump-threading --simplifycfg ,5.250800000000003,0
136,--gvn --instcombine --jump-threading --sccp ,5.3661,0
137,--gvn --instcombine --jump-threading --ipsccp ,5.438699999999998,0
138,--gvn --instcombine --jump-threading --licm ,5.7042,0
139,--gvn --instcombine --jump-threading --iv-users ,6.018,0
140,--gvn --instcombine --simplifycfg --sccp ,5.2997000000000005,0
141,--gvn --instcombine --simplifycfg --ipsccp ,5.413300000000002,0
142,--gvn --instcombine --simplifycfg --licm ,5.6236,0
143,--gvn --instcombine --simplifycfg --iv-users ,5.9324,0
144,--gvn --instcombine --sccp --ipsccp ,5.481800000000003,0
145,--gvn --instcombine --sccp --licm ,5.745900000000002,0
146,--gvn --instcombine --sccp --iv-users ,6.0386,0
147,--gvn --instcombine --ipsccp --licm ,5.7975,0
148,--gvn --instcombine --ipsccp --iv-users ,6.082600000000001,0
149,--gvn --instcombine --licm --iv-users ,6.346,0
150,--gvn --inline --jump-threading --simplifycfg ,3.5048000000000017,0
151,--gvn --inline --jump-threading --sccp ,3.6642000000000015,0
152,--gvn --inline --jump-threading --ipsccp ,3.6698,0
153,--gvn --inline --jump-threading --licm ,3.9118000000000026,0
154,--gvn --inline --jump-threading --iv-users ,4.138900000000001,0
155,--gvn --inline --simplifycfg --sccp ,3.604500000000002,0
156,--gvn --inline --simplifycfg --ipsccp ,3.646000000000002,0
157,--gvn --inline --simplifycfg --licm ,3.930200000000001,0
158,--gvn --inline --simplifycfg --iv-users ,4.121900000000002,0
159,--gvn --inline --sccp --ipsccp ,3.7519,0
160,--gvn --inline --sccp --licm ,4.008400000000001,0
161,--gvn --inline --sccp --iv-users ,4.149800000000001,0
162,--gvn --inline --ipsccp --licm ,4.028500000000002,0
163,--gvn --inline --ipsccp --iv-users ,4.2521,0
164,--gvn --inline --licm --iv-users ,4.4308000000000005,0
165,--gvn --jump-threading --simplifycfg --sccp ,3.6184,0
166,--gvn --jump-threading --simplifycfg --ipsccp ,3.7469,0
167,--gvn --jump-threading --simplifycfg --licm ,3.9797,0
168,--gvn --jump-threading --simplifycfg --iv-users ,4.1827000000000005,0
169,--gvn --jump-threading --sccp --ipsccp ,3.824700000000001,0
