,config,time
0,../x264/x264 --rc-lookahead 20 --ref 1 ,5.763570653499997
1,../x264/x264 --rc-lookahead 20 --ref 5 ,7.727558077499992
2,../x264/x264 --rc-lookahead 20 --ref 9 ,10.110240672499998
3,../x264/x264 --rc-lookahead 40 --ref 1 ,5.982874095499994
4,../x264/x264 --rc-lookahead 40 --ref 5 ,7.907146311500014
5,../x264/x264 --rc-lookahead 40 --ref 9 ,10.283338160500023
6,../x264/x264 --no-weightb --rc-lookahead 20 --ref 1 ,5.769014525499983
7,../x264/x264 --no-weightb --rc-lookahead 20 --ref 5 ,7.760177594499993
8,../x264/x264 --no-weightb --rc-lookahead 20 --ref 9 ,10.074329295999974
9,../x264/x264 --no-weightb --rc-lookahead 40 --ref 1 ,5.975956363499989
10,../x264/x264 --no-weightb --rc-lookahead 40 --ref 5 ,7.884414626499961
11,../x264/x264 --no-weightb --rc-lookahead 40 --ref 9 ,10.232823381000003
12,../x264/x264 --no-mixed-refs --rc-lookahead 20 --ref 1 ,5.780991235999977
13,../x264/x264 --no-mixed-refs --rc-lookahead 20 --ref 5 ,6.653835474999994
14,../x264/x264 --no-mixed-refs --rc-lookahead 20 --ref 9 ,8.151488404500014
15,../x264/x264 --no-mixed-refs --rc-lookahead 40 --ref 1 ,5.977254364000032
16,../x264/x264 --no-mixed-refs --rc-lookahead 40 --ref 5 ,6.87096072099996
17,../x264/x264 --no-mixed-refs --rc-lookahead 40 --ref 9 ,8.326502004499957
18,../x264/x264 --no-mixed-refs --no-weightb --rc-lookahead 20 --ref 1 ,5.778630638499976
19,../x264/x264 --no-mixed-refs --no-weightb --rc-lookahead 20 --ref 5 ,6.657774786499999
20,../x264/x264 --no-mixed-refs --no-weightb --rc-lookahead 20 --ref 9 ,8.117711980000024
21,../x264/x264 --no-mixed-refs --no-weightb --rc-lookahead 40 --ref 1 ,5.967115981000006
22,../x264/x264 --no-mixed-refs --no-weightb --rc-lookahead 40 --ref 5 ,6.809129637000012
23,../x264/x264 --no-mixed-refs --no-weightb --rc-lookahead 40 --ref 9 ,8.269124704000035
24,../x264/x264 --no-mbtree --rc-lookahead 20 --ref 1 ,6.1964520939999375
25,../x264/x264 --no-mbtree --rc-lookahead 20 --ref 5 ,8.444195763999971
26,../x264/x264 --no-mbtree --rc-lookahead 20 --ref 9 ,11.089563999000006
27,../x264/x264 --no-mbtree --rc-lookahead 40 --ref 1 ,6.204429057000084
28,../x264/x264 --no-mbtree --rc-lookahead 40 --ref 5 ,8.430418867499952
29,../x264/x264 --no-mbtree --rc-lookahead 40 --ref 9 ,11.080752112499908
30,../x264/x264 --no-mbtree --no-weightb --rc-lookahead 20 --ref 1 ,6.2611227955
31,../x264/x264 --no-mbtree --no-weightb --rc-lookahead 20 --ref 5 ,8.49467767549993
32,../x264/x264 --no-mbtree --no-weightb --rc-lookahead 20 --ref 9 ,11.12775070500004
33,../x264/x264 --no-mbtree --no-weightb --rc-lookahead 40 --ref 1 ,6.245188972499932
34,../x264/x264 --no-mbtree --no-weightb --rc-lookahead 40 --ref 5 ,8.488882603499974
35,../x264/x264 --no-mbtree --no-weightb --rc-lookahead 40 --ref 9 ,11.123227093999958
36,../x264/x264 --no-mbtree --no-mixed-refs --rc-lookahead 20 --ref 1 ,6.194138477000024
37,../x264/x264 --no-mbtree --no-mixed-refs --rc-lookahead 20 --ref 5 ,7.170069335999983
38,../x264/x264 --no-mbtree --no-mixed-refs --rc-lookahead 20 --ref 9 ,8.776922876499953
39,../x264/x264 --no-mbtree --no-mixed-refs --rc-lookahead 40 --ref 1 ,6.188098310999976
40,../x264/x264 --no-mbtree --no-mixed-refs --rc-lookahead 40 --ref 5 ,7.151376024000001
41,../x264/x264 --no-mbtree --no-mixed-refs --rc-lookahead 40 --ref 9 ,8.734667382500106
42,../x264/x264 --no-mbtree --no-mixed-refs --no-weightb --rc-lookahead 20 --ref 1 ,6.238873629999944
43,../x264/x264 --no-mbtree --no-mixed-refs --no-weightb --rc-lookahead 20 --ref 5 ,7.179304924500116
44,../x264/x264 --no-mbtree --no-mixed-refs --no-weightb --rc-lookahead 20 --ref 9 ,8.80193961000009
45,../x264/x264 --no-mbtree --no-mixed-refs --no-weightb --rc-lookahead 40 --ref 1 ,6.241486681999959
46,../x264/x264 --no-mbtree --no-mixed-refs --no-weightb --rc-lookahead 40 --ref 5 ,7.182544614499989
47,../x264/x264 --no-mbtree --no-mixed-refs --no-weightb --rc-lookahead 40 --ref 9 ,8.784362643999998
48,../x264/x264 --no-fast-pskip --rc-lookahead 20 --ref 1 ,5.839057699000023
49,../x264/x264 --no-fast-pskip --rc-lookahead 20 --ref 5 ,8.033458745499956
50,../x264/x264 --no-fast-pskip --rc-lookahead 20 --ref 9 ,10.70559016499999
51,../x264/x264 --no-fast-pskip --rc-lookahead 40 --ref 1 ,6.024805943000047
52,../x264/x264 --no-fast-pskip --rc-lookahead 40 --ref 5 ,8.213016260000018
53,../x264/x264 --no-fast-pskip --rc-lookahead 40 --ref 9 ,10.853521526000009
54,../x264/x264 --no-fast-pskip --no-weightb --rc-lookahead 20 --ref 1 ,5.817017686500094
55,../x264/x264 --no-fast-pskip --no-weightb --rc-lookahead 20 --ref 5 ,8.072184534999906
56,../x264/x264 --no-fast-pskip --no-weightb --rc-lookahead 20 --ref 9 ,10.678587682999932
57,../x264/x264 --no-fast-pskip --no-weightb --rc-lookahead 40 --ref 1 ,6.010219077500096
58,../x264/x264 --no-fast-pskip --no-weightb --rc-lookahead 40 --ref 5 ,8.230018149999864
59,../x264/x264 --no-fast-pskip --no-weightb --rc-lookahead 40 --ref 9 ,10.867564064499902
60,../x264/x264 --no-fast-pskip --no-mixed-refs --rc-lookahead 20 --ref 1 ,5.824574361000032
61,../x264/x264 --no-fast-pskip --no-mixed-refs --rc-lookahead 20 --ref 5 ,6.91770780249999
62,../x264/x264 --no-fast-pskip --no-mixed-refs --rc-lookahead 20 --ref 9 ,8.670829024000113
63,../x264/x264 --no-fast-pskip --no-mixed-refs --rc-lookahead 40 --ref 1 ,6.057836241499899
64,../x264/x264 --no-fast-pskip --no-mixed-refs --rc-lookahead 40 --ref 5 ,7.126210484000012
65,../x264/x264 --no-fast-pskip --no-mixed-refs --rc-lookahead 40 --ref 9 ,8.847595532000241
66,../x264/x264 --no-fast-pskip --no-mixed-refs --no-weightb --rc-lookahead 20 --ref 1 ,5.829975742499755
67,../x264/x264 --no-fast-pskip --no-mixed-refs --no-weightb --rc-lookahead 20 --ref 5 ,6.931315682499871
68,../x264/x264 --no-fast-pskip --no-mixed-refs --no-weightb --rc-lookahead 20 --ref 9 ,8.67214988700016
69,../x264/x264 --no-fast-pskip --no-mixed-refs --no-weightb --rc-lookahead 40 --ref 1 ,6.0160431069998594
