,commit,time,command,running_time
0,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 1 -N -20 -p 1,715.88
1,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 1 -N -20 -p 2,409.63
2,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 1 -N -20 -p 3,370.13
3,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 1 -N -20 -p 4,327.03
4,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 1 -N -12 -p 1,720.59
5,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 1 -N -12 -p 2,396.14
6,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 1 -N -12 -p 3,366.73
7,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 1 -N -12 -p 4,334.23
8,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 1 -N -4 -p 1,721.0
9,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 1 -N -4 -p 2,419.27
10,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 1 -N -4 -p 3,361.22
11,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 1 -N -4 -p 4,327.06
12,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 1 -N 4 -p 1,699.03
13,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 1 -N 4 -p 2,408.83
14,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 1 -N 4 -p 3,356.74
15,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 1 -N 4 -p 4,322.79
16,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 1 -N 12 -p 1,700.36
17,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 1 -N 12 -p 2,400.02
18,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 1 -N 12 -p 3,359.76
19,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 1 -N 12 -p 4,327.55
20,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 21 -N -20 -p 1,799.95
21,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 21 -N -20 -p 2,451.15
22,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 21 -N -20 -p 3,380.03
23,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 21 -N -20 -p 4,361.18
24,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 21 -N -12 -p 1,802.93
25,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 21 -N -12 -p 2,445.46
26,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 21 -N -12 -p 3,383.71
27,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 21 -N -12 -p 4,365.54
28,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 21 -N -4 -p 1,831.42
29,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 21 -N -4 -p 2,446.25
30,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 21 -N -4 -p 3,371.8
31,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 21 -N -4 -p 4,358.97
32,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 21 -N 4 -p 1,803.43
33,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 21 -N 4 -p 2,454.83
34,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 21 -N 4 -p 3,393.6
35,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 21 -N 4 -p 4,353.67
36,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 21 -N 12 -p 1,801.57
37,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 21 -N 12 -p 2,451.41
38,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 21 -N 12 -p 3,384.39
39,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 21 -N 12 -p 4,355.12
40,03f498a5ed4bfaa8f2b399f590a5ac08f81b4026,0,sudo lrzip -z -L 8 -w 41 -N -20 -p 1,799.44
