,commit,time,command,running_time
0,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 1 -N -20 -p 1,697.48
1,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 1 -N -20 -p 2,388.51
2,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 1 -N -20 -p 3,343.35
3,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 1 -N -20 -p 4,333.47
4,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 1 -N -12 -p 1,688.87
5,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 1 -N -12 -p 2,400.71
6,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 1 -N -12 -p 3,347.48
7,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 1 -N -12 -p 4,330.1
8,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 1 -N -4 -p 1,690.4
9,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 1 -N -4 -p 2,397.51
10,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 1 -N -4 -p 3,359.0
11,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 1 -N -4 -p 4,318.27
12,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 1 -N 4 -p 1,689.59
13,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 1 -N 4 -p 2,388.63
14,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 1 -N 4 -p 3,356.85
15,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 1 -N 4 -p 4,321.47
16,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 1 -N 12 -p 1,690.55
17,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 1 -N 12 -p 2,385.67
18,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 1 -N 12 -p 3,354.81
19,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 1 -N 12 -p 4,322.34
20,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 21 -N -20 -p 1,795.57
21,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 21 -N -20 -p 2,449.51
22,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 21 -N -20 -p 3,378.45
23,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 21 -N -20 -p 4,350.72
24,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 21 -N -12 -p 1,796.24
25,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 21 -N -12 -p 2,450.8
26,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 21 -N -12 -p 3,379.52
27,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 21 -N -12 -p 4,363.32
28,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 21 -N -4 -p 1,795.63
29,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 21 -N -4 -p 2,440.35
30,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 21 -N -4 -p 3,385.91
31,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 21 -N -4 -p 4,352.75
32,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 21 -N 4 -p 1,793.83
33,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 21 -N 4 -p 2,445.04
34,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 21 -N 4 -p 3,381.48
35,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 21 -N 4 -p 4,350.73
36,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 21 -N 12 -p 1,794.56
37,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 21 -N 12 -p 2,446.07
38,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 21 -N 12 -p 3,383.4
39,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 21 -N 12 -p 4,352.44
40,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 41 -N -20 -p 1,794.64
41,786cdf3463839c6addca170d02f3e197fb4decb1,0,sudo lrzip -z -L 8 -w 41 -N -20 -p 2,446.66
