,commit,time,command,running_time
0,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 1 -N -20 -p 1,748.35
1,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 1 -N -20 -p 2,417.33
2,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 1 -N -20 -p 3,364.4
3,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 1 -N -20 -p 4,325.11
4,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 1 -N -12 -p 1,687.24
5,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 1 -N -12 -p 2,401.12
6,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 1 -N -12 -p 3,376.12
7,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 1 -N -12 -p 4,339.28
8,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 1 -N -4 -p 1,715.9
9,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 1 -N -4 -p 2,404.35
10,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 1 -N -4 -p 3,371.5
11,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 1 -N -4 -p 4,329.18
12,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 1 -N 4 -p 1,689.11
13,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 1 -N 4 -p 2,391.69
14,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 1 -N 4 -p 3,350.66
15,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 1 -N 4 -p 4,326.87
16,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 1 -N 12 -p 1,697.03
17,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 1 -N 12 -p 2,400.02
18,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 1 -N 12 -p 3,354.93
19,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 1 -N 12 -p 4,322.02
20,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 21 -N -20 -p 1,804.95
21,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 21 -N -20 -p 2,447.67
22,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 21 -N -20 -p 3,381.38
23,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 21 -N -20 -p 4,356.29
24,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 21 -N -12 -p 1,799.66
25,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 21 -N -12 -p 2,445.46
26,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 21 -N -12 -p 3,381.19
27,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 21 -N -12 -p 4,354.72
28,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 21 -N -4 -p 1,800.09
29,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 21 -N -4 -p 2,442.18
30,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 21 -N -4 -p 3,381.78
31,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 21 -N -4 -p 4,356.39
32,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 21 -N 4 -p 1,801.02
33,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 21 -N 4 -p 2,435.95
34,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 21 -N 4 -p 3,379.79
35,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 21 -N 4 -p 4,350.89
36,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 21 -N 12 -p 1,793.67
37,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 21 -N 12 -p 2,436.67
38,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 21 -N 12 -p 3,377.05
39,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 21 -N 12 -p 4,349.47
40,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 41 -N -20 -p 1,793.3
41,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 41 -N -20 -p 2,433.45
42,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 41 -N -20 -p 3,374.21
43,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 41 -N -20 -p 4,351.28
44,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 41 -N -12 -p 1,795.03
45,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 41 -N -12 -p 2,436.45
46,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 41 -N -12 -p 3,378.63
47,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 41 -N -12 -p 4,352.44
48,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 41 -N -4 -p 1,795.38
49,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 41 -N -4 -p 2,443.32
50,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 41 -N -4 -p 3,386.1
51,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 41 -N -4 -p 4,352.94
52,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 41 -N 4 -p 1,802.23
53,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 41 -N 4 -p 2,448.38
54,073cdb2175b90f4950fb69a9c5004ad90412d0d0,0,sudo lrzip -z -L 8 -w 41 -N 4 -p 3,380.58
