,commit,time,command,running_time
0,de2c9c5f62fe891ccdbad8b27706a01b95eabdba,0,sudo lrzip -z -L 8 -w 1 -N -20 -p 1,695.42
1,de2c9c5f62fe891ccdbad8b27706a01b95eabdba,0,sudo lrzip -z -L 8 -w 1 -N -20 -p 2,394.95
2,de2c9c5f62fe891ccdbad8b27706a01b95eabdba,0,sudo lrzip -z -L 8 -w 1 -N -20 -p 3,350.09
3,de2c9c5f62fe891ccdbad8b27706a01b95eabdba,0,sudo lrzip -z -L 8 -w 1 -N -20 -p 4,328.39
4,de2c9c5f62fe891ccdbad8b27706a01b95eabdba,0,sudo lrzip -z -L 8 -w 1 -N -12 -p 1,690.9
5,de2c9c5f62fe891ccdbad8b27706a01b95eabdba,0,sudo lrzip -z -L 8 -w 1 -N -12 -p 2,395.97
6,de2c9c5f62fe891ccdbad8b27706a01b95eabdba,0,sudo lrzip -z -L 8 -w 1 -N -12 -p 3,358.15
7,de2c9c5f62fe891ccdbad8b27706a01b95eabdba,0,sudo lrzip -z -L 8 -w 1 -N -12 -p 4,319.5
8,de2c9c5f62fe891ccdbad8b27706a01b95eabdba,0,sudo lrzip -z -L 8 -w 1 -N -4 -p 1,691.63
9,de2c9c5f62fe891ccdbad8b27706a01b95eabdba,0,sudo lrzip -z -L 8 -w 1 -N -4 -p 2,399.87
10,de2c9c5f62fe891ccdbad8b27706a01b95eabdba,0,sudo lrzip -z -L 8 -w 1 -N -4 -p 3,351.91
11,de2c9c5f62fe891ccdbad8b27706a01b95eabdba,0,sudo lrzip -z -L 8 -w 1 -N -4 -p 4,318.27
12,de2c9c5f62fe891ccdbad8b27706a01b95eabdba,0,sudo lrzip -z -L 8 -w 1 -N 4 -p 1,693.59
13,de2c9c5f62fe891ccdbad8b27706a01b95eabdba,0,sudo lrzip -z -L 8 -w 1 -N 4 -p 2,396.63
14,de2c9c5f62fe891ccdbad8b27706a01b95eabdba,0,sudo lrzip -z -L 8 -w 1 -N 4 -p 3,348.34
15,de2c9c5f62fe891ccdbad8b27706a01b95eabdba,0,sudo lrzip -z -L 8 -w 1 -N 4 -p 4,326.71
