,commit,time,command,running_time
0,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 1 -N -20 -p 1,720.77
1,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 1 -N -20 -p 2,410.75
2,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 1 -N -20 -p 3,363.91
3,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 1 -N -20 -p 4,329.83
4,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 1 -N -12 -p 1,711.21
5,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 1 -N -12 -p 2,397.49
6,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 1 -N -12 -p 3,355.36
7,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 1 -N -12 -p 4,341.79
8,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 1 -N -4 -p 1,713.1
9,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 1 -N -4 -p 2,408.6
10,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 1 -N -4 -p 3,368.99
11,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 1 -N -4 -p 4,332.11
12,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 1 -N 4 -p 1,710.97
13,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 1 -N 4 -p 2,401.52
14,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 1 -N 4 -p 3,372.42
15,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 1 -N 4 -p 4,342.07
16,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 1 -N 12 -p 1,710.21
17,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 1 -N 12 -p 2,401.81
18,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 1 -N 12 -p 3,392.58
19,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 1 -N 12 -p 4,326.64
20,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 21 -N -20 -p 1,822.08
21,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 21 -N -20 -p 2,462.57
22,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 21 -N -20 -p 3,397.35
23,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 21 -N -20 -p 4,360.97
24,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 21 -N -12 -p 1,825.61
25,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 21 -N -12 -p 2,462.84
26,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 21 -N -12 -p 3,409.76
27,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 21 -N -12 -p 4,363.99
28,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 21 -N -4 -p 1,821.27
29,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 21 -N -4 -p 2,453.66
30,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 21 -N -4 -p 3,390.75
31,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 21 -N -4 -p 4,367.72
32,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 21 -N 4 -p 1,823.27
33,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 21 -N 4 -p 2,453.95
34,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 21 -N 4 -p 3,406.67
35,a71f7bdb57617fd90c31c394bf890dc919a2bbf2,0,sudo lrzip -z -L 8 -w 21 -N 4 -p 4,361.53
